For $y=2(x+14)(x-8)$; state the zeros and the x-intercepts., Zeros: $x=-14$ and $x=8$; x-intercepts: $(-14;0)$ and $(8;0)$.
For $y=-(x+11)(x-6)$; state the zeros and the x-intercepts., Zeros: $x=-11$ and $x=6$; x-intercepts: $(-11;0)$ and $(6;0)$.
For $y=2(x+5)(x-4)$; state the zeros and the x-intercepts., Zeros: $x=-5$ and $x=4$; x-intercepts: $(-5;0)$ and $(4;0)$.
For $y=-(x+11)(x-10)$; state the zeros and the x-intercepts., Zeros: $x=-11$ and $x=10$; x-intercepts: $(-11;0)$ and $(10;0)$.
For $y=2(x+11)(x-11)$; state the zeros and the x-intercepts., Zeros: $x=-11$ and $x=11$; x-intercepts: $(-11;0)$ and $(11;0)$.
For $y=(x+8)(x-13)$; state the zeros and the x-intercepts., Zeros: $x=-8$ and $x=13$; x-intercepts: $(-8;0)$ and $(13;0)$.
For $y=(x+9)(x-14)$; state the zeros and the x-intercepts., Zeros: $x=-9$ and $x=14$; x-intercepts: $(-9;0)$ and $(14;0)$.
For $y=(x+4)(x-3)$; state the zeros and the x-intercepts., Zeros: $x=-4$ and $x=3$; x-intercepts: $(-4;0)$ and $(3;0)$.
Start with $y=2^x$. Describe the transformations that produce $y=-1(2^(x-1))-6$; including the effect of the outside factor., Shift horizontally by 1 unit(s) right; shift 6 unit(s) down; and apply an outside factor of -1.
Start with $y=|x|$. Describe the transformations that produce $y=3|x-5|-11$; including the effect of the outside factor., Shift horizontally by 5 unit(s) right; shift 11 unit(s) down; and apply an outside factor of 3.
Start with $y=|x|$. Describe the transformations that produce $y=-2|x+6|+6$; including the effect of the outside factor., Shift horizontally by 6 unit(s) left; shift 6 unit(s) up; and apply an outside factor of -2.
Start with $y=|x|$. Describe the transformations that produce $y=-2|x-9|+7$; including the effect of the outside factor., Shift horizontally by 9 unit(s) right; shift 7 unit(s) up; and apply an outside factor of -2.
Start with $y=2^x$. Describe the transformations that produce $y=-1(2^(x-4))-9$; including the effect of the outside factor., Shift horizontally by 4 unit(s) right; shift 9 unit(s) down; and apply an outside factor of -1.
Graph $y\ge-5x-15$. State whether the boundary is solid or dashed; then determine whether $(1;-18)$ is a solution., Solid boundary $y=-5x-15$; $({testx};{testy})$ is a solution.
Graph $y\gt2x-4$. State whether the boundary is solid or dashed; then determine whether $(3;4)$ is a solution., Dashed boundary $y=2x-4$; $({testx};{testy})$ is a solution.
Graph $y\gt4x$. State whether the boundary is solid or dashed; then determine whether $(6;26)$ is a solution., Dashed boundary $y=4x$; $({testx};{testy})$ is a solution.
Graph $y\ge7x+1$. State whether the boundary is solid or dashed; then determine whether $(3;24)$ is a solution., Solid boundary $y=7x+1$; $({testx};{testy})$ is a solution.
Graph $y\ge3x+3$. State whether the boundary is solid or dashed; then determine whether $(7;26)$ is a solution., Solid boundary $y=3x+3$; $({testx};{testy})$ is a solution.
