Vertex of $y=(x-1)^2-3$.	$(1,-3)$
Vertex of $y=(x-2)^2-4$.	$(2,-4)$
Vertex of $y=(x-3)^2-5$.	$(3,-5)$
Vertex of $y=(x-4)^2-6$.	$(4,-6)$
Vertex of $y=(x-5)^2-7$.	$(5,-7)$
Vertex of $y=(x-6)^2-8$.	$(6,-8)$
Zeros of $y=(x+1)(x-5)$.	$-1,5$
Zeros of $y=(x+2)(x-6)$.	$-2,6$
Zeros of $y=(x+3)(x-7)$.	$-3,7$
Zeros of $y=(x+4)(x-8)$.	$-4,8$
Zeros of $y=(x+5)(x-9)$.	$-5,9$
Zeros of $y=(x+6)(x-10)$.	$-6,10$
$y$-intercept of $y=x^2+x-4$.	$(0,-4)$
$y$-intercept of $y=x^2+2x-5$.	$(0,-5)$
$y$-intercept of $y=x^2+3x-6$.	$(0,-6)$
$y$-intercept of $y=x^2+4x-7$.	$(0,-7)$
$y$-intercept of $y=x^2+5x-8$.	$(0,-8)$
$y$-intercept of $y=x^2+6x-9$.	$(0,-9)$
