Solve $x^2+16x=15$ by completing the square., $x=-8\pm\sqrt{79}$.
Solve $x^2+6x=23$ by completing the square., $x=-3\pm\sqrt{32}$.
Solve $x^2+22x=33$ by completing the square., $x=-11\pm\sqrt{154}$.
Solve $x^2+24x=33$ by completing the square., $x=-12\pm\sqrt{177}$.
Solve $x^2+6x=8$ by completing the square., $x=-3\pm\sqrt{17}$.
Solve $x^2+12x=43$ by completing the square., $x=-6\pm\sqrt{79}$.
Solve $x^2+6x=31$ by completing the square., $x=-3\pm\sqrt{40}$.
Solve $x^2+10x=45$ by completing the square., $x=-5\pm\sqrt{70}$.
Which form would reveal the vertex most directly for a quadratic with vertex $(3;11)$: standard; factored; or vertex form? Write a matching vertex-form equation with leading coefficient 1., Vertex form; $y=(x-3)^2+11$.
Which form would reveal the vertex most directly for a quadratic with vertex $(2;-9)$: standard; factored; or vertex form? Write a matching vertex-form equation with leading coefficient 1., Vertex form; $y=(x-2)^2-9$.
Which form would reveal the vertex most directly for a quadratic with vertex $(5;11)$: standard; factored; or vertex form? Write a matching vertex-form equation with leading coefficient 1., Vertex form; $y=(x-5)^2+11$.
Which form would reveal the vertex most directly for a quadratic with vertex $(-4;-6)$: standard; factored; or vertex form? Write a matching vertex-form equation with leading coefficient 1., Vertex form; $y=(x+4)^2-6$.
Which form would reveal the vertex most directly for a quadratic with vertex $(7;-5)$: standard; factored; or vertex form? Write a matching vertex-form equation with leading coefficient 1., Vertex form; $y=(x-7)^2-5$.
Start with $y=|x|$. Describe the transformations that produce $y=3|x-3|-11$; including the effect of the outside factor., Shift horizontally by 3 unit(s) right; shift 11 unit(s) down; and apply an outside factor of 3.
Start with $y=2^x$. Describe the transformations that produce $y=4(2^(x-5))-6$; including the effect of the outside factor., Shift horizontally by 5 unit(s) right; shift 6 unit(s) down; and apply an outside factor of 4.
Start with $y=|x|$. Describe the transformations that produce $y=3|x+4|+0$; including the effect of the outside factor., Shift horizontally by 4 unit(s) left; shift 0 unit(s) none; and apply an outside factor of 3.
Start with $y=x^2$. Describe the transformations that produce $y=-3(x-7)^2-8$; including the effect of the outside factor., Shift horizontally by 7 unit(s) right; shift 8 unit(s) down; and apply an outside factor of -3.
Start with $y=2^x$. Describe the transformations that produce $y=-1(2^(x-4))+3$; including the effect of the outside factor., Shift horizontally by 4 unit(s) right; shift 3 unit(s) up; and apply an outside factor of -1.
