version,bank_id,question_family_id,mastery_goal_id,exact_mastery_goal,response_type,representation,estimated_time_sec,source_basis
V1,U4-SUM-V1-Q01,SUM-SLOPE-TABLE,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Table + Context,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U4-SUM-V1-Q02,SUM-WRITE-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Table + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U4-SUM-V1-Q03,SUM-COMPARE,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Equation + Table,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U4-SUM-V1-Q04,SUM-MODEL,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U4-SUM-V1-Q05,SUM-SLOPE-CONTEXT,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U4-SUM-V1-Q06,SUM-GRAPH-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Graph production,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U4-SUM-V1-Q07,SUM-COMPARE-GRAPH,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Graph,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U4-SUM-V1-Q08,SUM-FIT,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Scatter plot,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q01,SUM-COMPARE,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Equation + Table,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q02,SUM-SLOPE-CONTEXT,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q03,SUM-WRITE-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Table + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q04,SUM-FIT,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Scatter plot,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q05,SUM-GRAPH-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Graph production,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q06,SUM-MODEL,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q07,SUM-SLOPE-TABLE,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Table + Context,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U4-SUM-V2-Q08,SUM-COMPARE-GRAPH,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Graph,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q01,SUM-MODEL,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q02,SUM-COMPARE-GRAPH,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Graph,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q03,SUM-SLOPE-TABLE,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Table + Context,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q04,SUM-GRAPH-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Graph production,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q05,SUM-FIT,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Scatter plot,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q06,SUM-WRITE-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Table + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q07,SUM-COMPARE,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Equation + Table,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U4-SUM-V3-Q08,SUM-SLOPE-CONTEXT,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q01,SUM-GRAPH-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Graph production,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q02,SUM-FIT,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Scatter plot,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q03,SUM-COMPARE,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Equation + Table,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q04,SUM-SLOPE-TABLE,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Table + Context,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q05,SUM-COMPARE-GRAPH,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Graph,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q06,SUM-SLOPE-CONTEXT,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q07,SUM-MODEL,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U4-SUM-V4-Q08,SUM-WRITE-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Table + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q01,SUM-ALT5-RATE-REVERSE,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q02,SUM-ALT5-LINE-FROM-TWO-POINTS,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q03,SUM-ALT5-CROSSOVER-COMPARE,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q04,SUM-ALT5-MODEL-FROM-DATA,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Table + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q05,SUM-ALT5-SLOPE-SIGN-CHOICE,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Context,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q06,SUM-ALT5-REPRESENTATION-COHERENCE,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Equation + Table + Graph production,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q07,SUM-ALT5-COMPARE-SCALE,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Context + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U4-SUM-V5-Q08,SUM-ALT5-MODEL-LIMITS,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Model reasoning,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q01,SUM-ALT6-GRAPH-SLOPE-TRIANGLE,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Graph reasoning + Equation,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q02,SUM-ALT6-CONTEXT-TO-EQ,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Context + Equation + Table,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q03,SUM-ALT6-COMPARE-INTERSECT,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Equation + Points,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q04,SUM-ALT6-SCATTER-DIAGNOSE,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Scatter plot,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q05,SUM-ALT6-RATE-UNIT-REASON,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",constructed/open response,Context + Units,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q06,SUM-ALT6-GRAPH-FROM-FEATURES,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",constructed/open response,Equation + Graph production,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q07,SUM-ALT6-MULTIREP-COMPARE,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",constructed/open response,Table + Context,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U4-SUM-V6-Q08,SUM-ALT6-MODEL-REVISION,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",constructed/open response,Model reasoning,315,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
