unit,section,target_type,target_id,exact_target,stage,routing
1,1.1,Section I-Can,1.1-IC1,"I can construct a table, graph, equation, or context from another representation of the same relationship.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.1,Section I-Can,1.1-IC2,"I can use features in one representation to work with a related table, graph, equation, or context.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.1,Section I-Can,1.1-IC3,"I can determine whether two representations belong to the same relationship using evidence from values, rates, or patterns.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.1,Spiral Review Target,1.1-REVIEW,"Interpret and create graphs on the coordinate plane while connecting points, axes, intercepts, and graphical information to mathematical situations.",Review,Warm-Ups 1-3 and Exit Ticket B
1,1.1,Spiral Mastery Target,1.1-MASTERY,"Solve inequalities, represent solution sets graphically, and interpret solutions in context.",Mastery,Warm-Ups 2-3 and Exit Ticket C; evidence connects to U1-MG04
1,1.2,Section I-Can,1.2-IC1,"I can formulate a rule that connects inputs to outputs in a table, graph, equation, or context.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.2,Section I-Can,1.2-IC2,I can apply an input-output rule to generate missing values and ordered pairs.,Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.2,Section I-Can,1.2-IC3,I can assess whether a rule gives one output for each input in a situation.,Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.2,Spiral Review Target,1.2-REVIEW,"Identify patterns and represent relationships using input-output rules, tables, words, and symbols.",Review,Warm-Ups 1-3 and Exit Ticket B
1,1.2,Spiral Mastery Target,1.2-MASTERY,Evaluate numerical and algebraic expressions correctly using substitution and order of operations.,Mastery,Warm-Ups 2-3 and Exit Ticket C; evidence connects to U1-MG01
1,1.3,Section I-Can,1.3-IC1,"I can design examples of linear, quadratic, exponential, and absolute value relationships using more than one representation.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.3,Section I-Can,1.3-IC2,"I can extend patterns in tables, graphs, equations, and contexts to work with common function families.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.3,Section I-Can,1.3-IC3,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.3,Spiral Review Target,1.3-REVIEW,"Recognize constant rate of change in tables, graphs, visual patterns, and situations.",Review,Warm-Ups 1-3 and Exit Ticket B
1,1.3,Spiral Mastery Target,1.3-MASTERY,"Accurately perform operations with integers, fractions, and decimals while interpreting results in mathematical and contextual situations.",Mastery,Warm-Ups 2-3 and Exit Ticket C; evidence connects to U1-MG01
1,1.4,Section I-Can,1.4-IC1,"I can build equivalent expressions by using structure, grouping, and properties of operations.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.4,Section I-Can,1.4-IC2,I can apply rewriting strategies to make the meaning of an expression easier to work with.,Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.4,Section I-Can,1.4-IC3,"I can determine whether two expressions are equivalent by using structure, substitution, or properties.",Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.4,Spiral Review Target,1.4-REVIEW,"Compare relationships using equations, graphs, tables, visual patterns, and contexts, then justify conclusions.",Review,Warm-Ups 1-3 and Exit Ticket B
1,1.4,Spiral Mastery Target,1.4-MASTERY,Analyze and rewrite algebraic expressions using properties of operations and algebraic structure.,Mastery,Warm-Ups 2-3 and Exit Ticket C; evidence connects to U1-MG02
1,1.5,Section I-Can,1.5-IC1,I can construct an equation that models a situation using meaningful quantities and operations.,Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.5,Section I-Can,1.5-IC2,I can use solution steps to solve an equation and connect the result to the situation.,Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.5,Section I-Can,1.5-IC3,I can predict whether a solution is reasonable by interpreting it in the original context.,Intro,WTC/Notes/Practice/CYU/Intro Warm-Up/Exit A as appropriate
1,1.5,Spiral Review Target,1.5-REVIEW,"Represent linear relationships using tables, graphs, equations, and contextual descriptions.",Review,Warm-Ups 1-3 and Exit Ticket B
1,1.5,Spiral Mastery Target,1.5-MASTERY,Solve one-variable equations and interpret solutions within mathematical and contextual situations.,Mastery,Warm-Ups 2-3 and Exit Ticket C; evidence connects to U1-MG03
1,Unit,Mastery Goal,U1-MG01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",Summative,Exit C where aligned + Secure Summative V1-V6
1,Unit,Mastery Goal,U1-MG02,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",Summative,Exit C where aligned + Secure Summative V1-V6
1,Unit,Mastery Goal,U1-MG03,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,Summative,Exit C where aligned + Secure Summative V1-V6
1,Unit,Mastery Goal,U1-MG04,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",Summative,Exit C where aligned + Secure Summative V1-V6
