For $y=(x-2)(x+3)$, x-intercepts?	$2$ and $-3$
For $y=(x+1)(x-5)$, x-intercepts?	$-1$ and $5$
For roots -2 and 4, axis of symmetry?	$x=1$
For roots 1 and 7, axis of symmetry?	$x=4$
For $y=x^2-4x+3$, y-intercept?	$(0,3)$
For $y=-2x^2+x+5$, direction of opening?	downward
For $y=3x^2-2x-1$, direction of opening?	upward
For $y=(x-3)^2-4$, vertex?	$(3,-4)$
For $y=-(x+2)^2+5$, vertex?	$(-2,5)$
A table is symmetric about x=2 with minimum y=-1. Vertex?	$(2,-1)$
A table is symmetric about x=-3 with maximum y=4. Vertex?	$(-3,4)$
What expression feature directly gives the y-intercept in standard form?	the constant term
What expression feature directly gives x-intercepts in factored form?	the factors/zeros
What determines whether a parabola opens up or down?	the sign of the leading coefficient
How can two roots determine the axis of symmetry?	take their midpoint
Is the constant term always the vertex y-value?	no
For $y=(x+4)(x-2)$, axis of symmetry?	$x=-1$
For $y=x^2+6x+8$, y-intercept?	$(0,8)$
