bank_id,destination,section,exact_i_can,question_family_id,variation,task_architecture,representation,response_type,mastery_goal,summative_version,secure
U2-S21-WTC-01,WTC,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",wtc_rate_context,shared-distance-graph,WTC-FRQ-PREVIEW-01,Graph + Context,constructed response,,,False
U2-S21-NOTESEXAMPLE-01,Notes Example,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,Notes Example-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-NOTESYTI-01,Notes YTI,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,Notes YTI-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-NOTESEXAMPLE-02,Notes Example,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,Notes Example-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-NOTESYTI-02,Notes YTI,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,Notes YTI-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-NOTESEXAMPLE-03,Notes Example,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,Notes Example-3,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-NOTESYTI-03,Notes YTI,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,Notes YTI-3,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-NOTESEXAMPLE-04,Notes Example,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,Notes Example-4,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-NOTESYTI-04,Notes YTI,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,Notes YTI-4,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-NOTESEXAMPLE-05,Notes Example,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,Notes Example-5,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-NOTESYTI-05,Notes YTI,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,Notes YTI-5,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-NOTESEXAMPLE-06,Notes Example,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,Notes Example-6,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-NOTESYTI-06,Notes YTI,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,Notes YTI-6,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET1-01,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F1-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET1-02,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F1-2,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET1-03,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F1-3,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET1-04,Practice Set 1,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F1-1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET1-05,Practice Set 1,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F1-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET1-06,Practice Set 1,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F1-3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET1-07,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F1-1,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET1-08,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F1-2,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET1-09,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F1-3,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET1-10,Practice Set 1,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F1-1,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET1-11,Practice Set 1,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F1-2,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET1-12,Practice Set 1,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F1-3,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET1-13,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F1-1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET1-14,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F1-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET1-15,Practice Set 1,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F1-3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET1-16,Practice Set 1,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F1-1,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET1-17,Practice Set 1,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F1-2,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET1-18,Practice Set 1,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F1-3,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET1-19,Practice Set 1,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F1-R1,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
