Property used in $3(x+2)=3x+6$, distributive property
Number multiplying $x$ in $7x+4$, 7
Parts separated by addition in an expression, terms
Expressions with the same value for all inputs, equivalent expressions
Rate in $y=5x+1$, 5
Starting value in $y=3x-2$, $-2$
Two representations agree at every input, equivalent
Table change $+4$ each step gives rate, 4
Compute $-6+20$, 14
Evaluate $9x+6$ at $x=2$, 24
Simplify $7(x+3)$, $7x+21$
Factor $14x+22$, $2(7x+11)$
Solve $7x=-35$, $x=-5$
Solve $x+6=17$, $x=11$
Solve $2x+4\lt -8$, $x\lt -6$
Endpoint for $x\lt 8$, open
Shading direction for $x\lt -4$, left
Opposite operation of multiplying by 12, divide by 12
