For $f(x)=3x+4$ find $f(5)$, 19
For $g(x)=4x-1$ find input when output is 27, 7
A repeated input has two different outputs. Function status, not a function
Rule says double then add 5, $f(x)=2x+5$
Input 6 under rule $y=x-8$, -2
One output for each input. Relationship type, function
Pattern 4 then 9 then 14. Constant change, 5
Rule add 11 to the input, $y=x+11$
Input 3 gives output 17 under $y=5x+2$. Ordered pair, $(3;17)$
Outputs 4 then 10 then 16. Next output, 22
Input 0 under $y=6x-3$, -3
Evaluate $2+3(4)$, 14
Evaluate $x^2-1$ when $x=5$, 24
Evaluate $2a-7$ when $a=-3$, -13
Evaluate $|x|+1$ when $x=-8$, 9
Evaluate $3(2^2)+1$, 13
Evaluate $\frac{18+6n}{3}$ when $n=2$, 10
Evaluate $(x+2)(x-1)$ when $x=4$, 18
