bank_id,destination,section,item_label,exact_target,question_family_id,variation,task_architecture,representation,response_type,dok,bloom,mastery_goal,source_basis,summative_version
U3-31-WTC-001,WTC,3.1,What’s to Come,I can construct graphical representations of systems and connect intersection points to solutions.,wtc_shared_experience,wtc,WTC-FRQ-PREVIEW-01,Graph,constructed_response,3,Analyze,,Unit 3 Assessment Plan; Framework section enrichment,
U3-32-WTC-001,WTC,3.2,What’s to Come,I can formulate a substitution plan when one equation is already written in an efficient form.,wtc_shared_experience,wtc,WTC-FRQ-PREVIEW-01,Equation,constructed_response,3,Analyze,,Unit 3 Assessment Plan; Framework section enrichment,
U3-33-WTC-001,WTC,3.3,What’s to Come,I can build a system of equations that represents two constraints in a situation.,wtc_shared_experience,wtc,WTC-FRQ-PREVIEW-01,Context,constructed_response,3,Analyze,,Unit 3 Assessment Plan; Framework section enrichment,
U3-34-WTC-001,WTC,3.4,What’s to Come,"I can critique a graph of a linear inequality using the boundary, shading, and solution region.",wtc_shared_experience,wtc,WTC-FRQ-PREVIEW-01,Graph,constructed_response,3,Analyze,,Unit 3 Assessment Plan; Framework section enrichment,
U3-35-WTC-001,WTC,3.5,What’s to Come,I can extend graphing strategies to represent overlapping solution regions.,wtc_shared_experience,wtc,WTC-FRQ-PREVIEW-01,Graph,constructed_response,3,Analyze,,Unit 3 Assessment Plan; Framework section enrichment,
U3-31-NOTES-EXAMPLE-1-001,Notes Example 1,3.1,Example 1,I can construct graphical representations of systems and connect intersection points to solutions.,system_graph_intersection,ex-1,REPTRANS-GRAPH-TABLE-EQUATION-01,Graph,constructed_response,2,Apply,,Unit 3 Assessment Plan; Framework section enrichment,
U3-31-NOTES-YTI-1-001,Notes YTI 1,3.1,You Try It 1,I can construct graphical representations of systems and connect intersection points to solutions.,system_graph_intersection,yti-1,REPTRANS-GRAPH-TABLE-EQUATION-01,Graph,constructed_response,2,Apply,,Unit 3 Assessment Plan; Framework section enrichment,
U3-31-NOTES-EXAMPLE-2-001,Notes Example 2,3.1,Example 2,I can construct graphical representations of systems and connect intersection points to solutions.,system_table_intersection,ex-2,REPTRANS-GRAPH-TABLE-EQUATION-01,Table,constructed_response,2,Apply,,Unit 3 Assessment Plan; Framework section enrichment,
U3-31-NOTES-YTI-2-001,Notes YTI 2,3.1,You Try It 2,I can construct graphical representations of systems and connect intersection points to solutions.,system_table_intersection,yti-2,REPTRANS-GRAPH-TABLE-EQUATION-01,Table,constructed_response,2,Apply,,Unit 3 Assessment Plan; Framework section enrichment,
U3-31-NOTES-EXAMPLE-3-001,Notes Example 3,3.1,Example 3,I can use elimination to solve systems and interpret the solution type.,elimination_solve,ex-3,PROC-MULTISTEP-CHAIN-01,Equation,constructed_response,2,Apply,,Unit 3 Assessment Plan; Framework section enrichment,
