bank_id,destination,section,exact_target,mastery_goal,evidence_job,representation,response_type
U3-31-EXIT-TICKET-A-001,Exit Ticket A,3.1,I can construct graphical representations of systems and connect intersection points to solutions.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Graph,constructed_response
U3-31-EXIT-TICKET-A-002,Exit Ticket A,3.1,"I can determine whether a system has one solution, no solution, or infinitely many solutions from algebraic and graphical evidence.",,Independent Intro-stage evidence on the current Unit 3 section I-can.,Equation,constructed_response
U3-31-EXIT-TICKET-A-003,Exit Ticket A,3.1,I can use elimination to solve systems and interpret the solution type.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Equation,constructed_response
U3-31-EXIT-TICKET-A-004,Exit Ticket A,3.1,I can construct graphical representations of systems and connect intersection points to solutions.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Graph,constructed_response
U3-31-EXIT-TICKET-B-001,Exit Ticket B,3.1,Graph linear functions and interpret key features.,,Independent Review-stage evidence on the authoritative spiral target.,Graph,constructed_response
U3-31-EXIT-TICKET-B-002,Exit Ticket B,3.1,Graph linear functions and interpret key features.,,Independent Review-stage evidence on the authoritative spiral target.,Graph,constructed_response
U3-31-EXIT-TICKET-B-003,Exit Ticket B,3.1,Graph linear functions and interpret key features.,,Independent Review-stage evidence on the authoritative spiral target.,Graph,constructed_response
U3-31-EXIT-TICKET-B-004,Exit Ticket B,3.1,Graph linear functions and interpret key features.,,Independent Review-stage evidence on the authoritative spiral target.,Graph,constructed_response
U3-31-EXIT-TICKET-C-001,Exit Ticket C,3.1,"Connect tables, graphs, equations, and contexts that represent the same relationship.",U3-MG01,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-31-EXIT-TICKET-C-002,Exit Ticket C,3.1,"Connect tables, graphs, equations, and contexts that represent the same relationship.",U3-MG01,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-31-EXIT-TICKET-C-003,Exit Ticket C,3.1,"Connect tables, graphs, equations, and contexts that represent the same relationship.",U3-MG01,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-31-EXIT-TICKET-C-004,Exit Ticket C,3.1,"Connect tables, graphs, equations, and contexts that represent the same relationship.",U3-MG01,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-32-EXIT-TICKET-A-001,Exit Ticket A,3.2,I can formulate a substitution plan when one equation is already written in an efficient form.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Equation,constructed_response
U3-32-EXIT-TICKET-A-002,Exit Ticket A,3.2,I can assess which algebraic method is more efficient for a given system.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Equation,constructed_response
U3-32-EXIT-TICKET-A-003,Exit Ticket A,3.2,I can apply substitution to solve systems and interpret the ordered-pair solution.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Equation,constructed_response
U3-32-EXIT-TICKET-A-004,Exit Ticket A,3.2,I can apply substitution to solve systems and interpret the ordered-pair solution.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Equation,constructed_response
U3-32-EXIT-TICKET-B-001,Exit Ticket B,3.2,"Write linear equations from graphs, tables, and situations.",,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-32-EXIT-TICKET-B-002,Exit Ticket B,3.2,"Write linear equations from graphs, tables, and situations.",,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-32-EXIT-TICKET-B-003,Exit Ticket B,3.2,"Write linear equations from graphs, tables, and situations.",,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-32-EXIT-TICKET-B-004,Exit Ticket B,3.2,"Write linear equations from graphs, tables, and situations.",,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-32-EXIT-TICKET-C-001,Exit Ticket C,3.2,"Interpret and rewrite algebraic expressions by identifying structure, meaning, and equivalent forms.",U3-MG03,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Equation,constructed_response
U3-32-EXIT-TICKET-C-002,Exit Ticket C,3.2,"Interpret and rewrite algebraic expressions by identifying structure, meaning, and equivalent forms.",U3-MG03,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Equation,constructed_response
