bank_id,destination,section,spiral_stage,exact_target,mastery_goal,expected_evidence,representation,security,summative_version
u5_51_128,Exit Ticket A,5.1,Intro,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro evidence for I can construct equivalent polynomial expressions by factoring out a greatest common factor.,Equation,instructional,
u5_51_129,Exit Ticket A,5.1,Intro,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro evidence for I can construct equivalent polynomial expressions by factoring out a greatest common factor.,Equation,instructional,
u5_51_130,Exit Ticket A,5.1,Intro,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro evidence for I can apply structure to rewrite polynomial expressions in a more useful form.,Equation,instructional,
u5_51_131,Exit Ticket A,5.1,Intro,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro evidence for I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,Equation,instructional,
u5_51_132,Exit Ticket B,5.1,Review,"Add, subtract, and multiply polynomial expressions.",,"Review evidence: Add, subtract, and multiply polynomial expressions.",Equation,instructional,
u5_51_133,Exit Ticket B,5.1,Review,"Add, subtract, and multiply polynomial expressions.",,"Review evidence: Add, subtract, and multiply polynomial expressions.",Equation,instructional,
u5_51_134,Exit Ticket B,5.1,Review,"Add, subtract, and multiply polynomial expressions.",,"Review evidence: Add, subtract, and multiply polynomial expressions.",Equation,instructional,
u5_51_135,Exit Ticket B,5.1,Review,"Add, subtract, and multiply polynomial expressions.",,"Review evidence: Add, subtract, and multiply polynomial expressions.",Equation,instructional,
u5_51_136,Exit Ticket C,5.1,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,instructional,
u5_51_137,Exit Ticket C,5.1,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,instructional,
u5_51_138,Exit Ticket C,5.1,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,instructional,
u5_51_139,Exit Ticket C,5.1,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,instructional,
u5_52_128,Exit Ticket A,5.2,Intro,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro evidence for I can build factored forms of quadratic trinomials using product-sum relationships.,Equation,instructional,
u5_52_129,Exit Ticket A,5.2,Intro,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro evidence for I can build factored forms of quadratic trinomials using product-sum relationships.,Equation,instructional,
u5_52_130,Exit Ticket A,5.2,Intro,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro evidence for I can use patterns in coefficients and constants to factor quadratic trinomials.,Equation,instructional,
u5_52_131,Exit Ticket A,5.2,Intro,I can predict missing factors or terms by extending product-sum reasoning.,,Intro evidence for I can predict missing factors or terms by extending product-sum reasoning.,Equation,instructional,
u5_52_132,Exit Ticket B,5.2,Review,Connect polynomial expressions to quadratic graphs and key features.,,Review evidence: Connect polynomial expressions to quadratic graphs and key features.,Graph,instructional,
u5_52_133,Exit Ticket B,5.2,Review,Connect polynomial expressions to quadratic graphs and key features.,,Review evidence: Connect polynomial expressions to quadratic graphs and key features.,Equation,instructional,
u5_52_134,Exit Ticket B,5.2,Review,Connect polynomial expressions to quadratic graphs and key features.,,Review evidence: Connect polynomial expressions to quadratic graphs and key features.,Equation,instructional,
u5_52_135,Exit Ticket B,5.2,Review,Connect polynomial expressions to quadratic graphs and key features.,,Review evidence: Connect polynomial expressions to quadratic graphs and key features.,Equation,instructional,
u5_52_136,Exit Ticket C,5.2,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,instructional,
u5_52_137,Exit Ticket C,5.2,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,instructional,
u5_52_138,Exit Ticket C,5.2,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,instructional,
u5_52_139,Exit Ticket C,5.2,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Portfolio evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Graph,instructional,
u5_53_128,Exit Ticket A,5.3,Intro,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Intro evidence for I can apply difference-of-squares and perfect-square-trinomial patterns.,Equation,instructional,
u5_53_129,Exit Ticket A,5.3,Intro,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Intro evidence for I can apply difference-of-squares and perfect-square-trinomial patterns.,Equation,instructional,
