unit,target,section,dok,question_type,version_family,source_items,variation_mode,figure_needed,reassessment_order,notes
Unit 3,T1,3.1,1,interpret solution type,V1-4,3-S1-DOK1.01,number-swap,NO,V1:Q1; V2:Q1; V3:Q1; V4:Q1,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T1,3.1,1,interpret solution type,V5-6,3-S1-DOK1.03,light rewrite,NO,V5:Q2; V6:Q2,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T1,3.1,1,interpret solution type,V7-8,3-S1-DOK1.04,light rewrite,NO,V7:Q5; V8:Q5,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T2,3.2,1,substitution setup,V1-4,3-S2-DOK1.01,number-swap,NO,V1:Q2; V2:Q2; V3:Q2; V4:Q2,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T2,3.2,1,substitution setup,V5-6,3-S2-DOK1.02,number-swap,NO,V5:Q7; V6:Q7,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T2,3.2,1,substitution setup,V7-8,3-S2-DOK1.14,switch entry point,NO,V7:Q3; V8:Q3,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T3,3.4,1,inequality graph features,V1-4,3-S4-DOK1.01 + 3-S4-DOK1.03,light merge,NO,V1:Q3; V2:Q3; V3:Q3; V4:Q3,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T3,3.4,1,inequality graph features,V5-6,3-S4-DOK1.06 + 3-S4-DOK1.07,light rewrite,NO,V5:Q9; V6:Q9,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T3,3.4,1,inequality graph features,V7-8,3-S4-DOK1.09 + 3-S4-DOK1.10,number-swap,NO,V7:Q7; V8:Q7,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T4,3.5,1,feasibility concept,V1-4,3-S5-DOK1.03 + 3-S5-DOK1.07,light rewrite,NO,V1:Q4; V2:Q4; V3:Q4; V4:Q4,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T4,3.5,1,feasibility concept,V5-6,3-S5-DOK1.02,same source reword,NO,V5:Q4; V6:Q4,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T4,3.5,1,feasibility concept,V7-8,3-S5-DOK1.04 + 3-S5-DOK1.05,light rewrite,NO,V7:Q1; V8:Q1,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T5,3.1,2,solve system graph/elimination,V1-4,3-S1-DOK2.01,number-swap,YES,V1:Q5; V2:Q5; V3:Q5; V4:Q5,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T5,3.1,2,solve system graph/elimination,V5-6,3-S1-DOK2.03,number-swap,NO,V5:Q8; V6:Q8,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T5,3.1,2,solve system graph/elimination,V7-8,3-S1-DOK2.04,light rewrite,NO,V7:Q9; V8:Q9,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T6,3.2,2,solve by substitution,V1-4,3-S2-DOK2.01,number-swap,NO,V1:Q6; V2:Q6; V3:Q6; V4:Q6,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T6,3.2,2,solve by substitution,V5-6,3-S2-DOK2.02,light rewrite,NO,V5:Q1; V6:Q1,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T6,3.2,2,solve by substitution,V7-8,3-S2-DOK2.07,light rewrite,NO,V7:Q4; V8:Q4,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T7,3.3,2,write and solve context system,V1-4,3-S3-DOK2.01,context-swap,NO,V1:Q7; V2:Q7; V3:Q7; V4:Q7,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T7,3.3,2,write and solve context system,V5-6,3-S3-DOK2.02 + 3-S3-DOK2.06,context-swap,NO,V5:Q5; V6:Q5,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T7,3.3,2,write and solve context system,V7-8,3-S3-DOK2.04,context-swap,NO,V7:Q10; V8:Q10,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T8,3.4,2,graph linear inequality,V1-4,3-S4-DOK2.01 + 3-S4-DOK2.02,number-swap,YES,V1:Q8; V2:Q8; V3:Q8; V4:Q8,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T8,3.4,2,graph linear inequality,V5-6,3-S4-DOK2.06,light rewrite,YES,V5:Q3; V6:Q3,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T8,3.4,2,graph linear inequality,V7-8,3-S4-DOK2.10 + 3-S4-DOK2.11,switch entry point,YES,V7:Q8; V8:Q8,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T9,3.3,3,context system cross-representation,V1-4,3-S3-DOK3.01,number-swap,YES,V1:Q9; V2:Q9; V3:Q9; V4:Q9,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T9,3.3,3,context system cross-representation,V5-6,3-S3-DOK3.02,light rewrite,YES,V5:Q6; V6:Q6,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T9,3.3,3,context system cross-representation,V7-8,3-S3-DOK3.01,context-swap,YES,V7:Q2; V8:Q2,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T10,3.5,3,system of inequalities method analysis,V1-4,3-S5-DOK3.01,number-swap,YES,V1:Q10; V2:Q10; V3:Q10; V4:Q10,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T10,3.5,3,system of inequalities method analysis,V5-6,3-S5-DOK3.02,context-swap,NO,V5:Q10; V6:Q10,DOK 4 excluded; variants preserve same target blueprint.
Unit 3,T10,3.5,3,system of inequalities method analysis,V7-8,3-S5-DOK3.03,light rewrite,YES,V7:Q6; V8:Q6,DOK 4 excluded; variants preserve same target blueprint.
