q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
2-S1-DOK1.03,summative,2,2.1,-,target1 V1-4,number-swap,
2-S1-DOK1.01,summative,2,2.1,-,target1 V5-6,number-swap,
2-S1-DOK1.14,summative,2,2.1,-,target1 V7-8,number-swap,
2-S2-DOK1.01,summative,2,2.2,-,target2 V1-4,number-swap,
2-S2-DOK1.06,summative,2,2.2,-,target2 V5-6,number-swap,
2-S2-DOK1.12,summative,2,2.2,-,target2 V7-8,number-swap,
2-S3-DOK1.04,summative,2,2.3,-,target3 V1-4,number-swap,
2-S3-DOK1.07,summative,2,2.3,-,target3 V5-6,number-swap,
2-S3-DOK1.14,summative,2,2.3,-,target3 V7-8,context-swap,
2-S5-DOK1.05,summative,2,2.5,-,target4 V1-4,number-swap,
2-S5-DOK1.04,summative,2,2.5,-,target4 V5-6,number-swap,
2-S5-DOK1.12,summative,2,2.5,-,target4 V7-8,number-swap,
2-S1-DOK2.05,summative,2,2.1,-,target5 V1-4,number-swap,
2-S1-DOK2.06,summative,2,2.1,-,target5 V5-6,context-swap,
2-S1-DOK2.10,summative,2,2.1,-,target5 V7-8,number-swap,
2-S2-DOK2.01,summative,2,2.2,-,target6 V1-4,number-swap,
2-S2-DOK2.03,summative,2,2.2,-,target6 V5-6,number-swap,
2-S2-DOK2.08,summative,2,2.2,-,target6 V7-8,number-swap,
2-S3-DOK2.02,summative,2,2.3,-,target7 V1-4,number-swap,
2-S3-DOK2.03,summative,2,2.3,-,target7 V5-6,number-swap,
2-S3-DOK2.04,summative,2,2.3,-,target7 V7-8,context-swap,
2-S4-DOK2.01,summative,2,2.4,-,target8 V1-4,number-swap,
2-S4-DOK2.02,summative,2,2.4,-,target8 V5-6,number-swap,
2-S4-DOK2.05,summative,2,2.4,-,target8 V7-8,number-swap,
2-S4-DOK3.02,summative,2,2.4,-,target9 V1-4,number-swap,
2-S4-DOK3.03,summative,2,2.4,-,target9 V5-6,number-swap,
2-S4-DOK3.04,summative,2,2.4,-,target9 V7-8,number-swap,
2-S5-DOK3.04,summative,2,2.5,-,target10 V1-4,number-swap,
2-S5-DOK3.01,summative,2,2.5,-,target10 V5-6,reword,
2-S5-DOK3.03,summative,2,2.5,-,target10 V7-8,number-swap,
