bank_id,destination,section,exact_target,mastery_goal,evidence_job,representation,response_type,summative_version
U2-S21-EXITTICKETA-01,Exit Ticket A,2.1,I can apply slope calculations to interpret constant change between quantities.,,Intro evidence pulse: Compute slope consistently from two points.,Equation,constructed response,
U2-S21-EXITTICKETA-02,Exit Ticket A,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",,Intro evidence pulse: Read constant rate from equal input intervals.,Table,constructed response,
U2-S21-EXITTICKETA-03,Exit Ticket A,2.1,I can apply slope calculations to interpret constant change between quantities.,,Intro evidence pulse: Distinguish slope types from line behavior.,Graph / Context,constructed response,
U2-S21-EXITTICKETA-04,Exit Ticket A,2.1,I can determine whether a slope value is reasonable for a given context.,,Intro evidence pulse: Evaluate slope reasonableness and diagnose a misconception.,Context / Equation,constructed response,
U2-S21-EXITTICKETB-01,Exit Ticket B,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,,Review evidence pulse on the exact prior I-can routed for this section.,Table + Equation,constructed response,
U2-S21-EXITTICKETB-02,Exit Ticket B,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,,Review evidence pulse on the exact prior I-can routed for this section.,Table + Equation,constructed response,
U2-S21-EXITTICKETB-03,Exit Ticket B,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,,Review evidence pulse on the exact prior I-can routed for this section.,Table + Equation,constructed response,
U2-S21-EXITTICKETB-04,Exit Ticket B,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,,Review evidence pulse on the exact prior I-can routed for this section.,Table + Equation,constructed response,
U2-S21-EXITTICKETC-01,Exit Ticket C,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table,constructed response,
U2-S21-EXITTICKETC-02,Exit Ticket C,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table,constructed response,
U2-S21-EXITTICKETC-03,Exit Ticket C,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table,constructed response,
U2-S21-EXITTICKETC-04,Exit Ticket C,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table,constructed response,
U2-S22-EXITTICKETA-01,Exit Ticket A,2.2,I can build graphs of linear functions using slope and intercept information.,,Intro evidence pulse: Construct a linear graph from slope-intercept information.,Graph + Equation,constructed response,
U2-S22-EXITTICKETA-02,Exit Ticket A,2.2,I can use key features of a line to interpret a relationship.,,Intro evidence pulse: Interpret key graph features directly.,Graph,constructed response,
U2-S22-EXITTICKETA-03,Exit Ticket A,2.2,I can extend a graph to predict outputs within a meaningful range.,,Intro evidence pulse: Extend a graph to predict an output within a meaningful range.,Context Graph,constructed response,
U2-S22-EXITTICKETA-04,Exit Ticket A,2.2,I can use key features of a line to interpret a relationship.,,"Intro evidence pulse: Diagnose graphing errors involving intercept, slope, or scale.",Graph / Equation,constructed response,
U2-S22-EXITTICKETB-01,Exit Ticket B,2.2,"I can construct a table, graph, equation, or context from another representation of the same relationship.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation -> Table,constructed response,
U2-S22-EXITTICKETB-02,Exit Ticket B,2.2,"I can construct a table, graph, equation, or context from another representation of the same relationship.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation -> Table,constructed response,
U2-S22-EXITTICKETB-03,Exit Ticket B,2.2,"I can construct a table, graph, equation, or context from another representation of the same relationship.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation -> Table,constructed response,
U2-S22-EXITTICKETB-04,Exit Ticket B,2.2,"I can construct a table, graph, equation, or context from another representation of the same relationship.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation -> Table,constructed response,
U2-S22-EXITTICKETC-01,Exit Ticket C,2.2,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Portfolio evidence pulse on U2-MG01.,Graph / Ordered Pair,constructed response,
U2-S22-EXITTICKETC-02,Exit Ticket C,2.2,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Portfolio evidence pulse on U2-MG01.,Graph / Ordered Pair,constructed response,
U2-S22-EXITTICKETC-03,Exit Ticket C,2.2,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Portfolio evidence pulse on U2-MG01.,Graph / Ordered Pair,constructed response,
U2-S22-EXITTICKETC-04,Exit Ticket C,2.2,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Portfolio evidence pulse on U2-MG01.,Graph / Ordered Pair,constructed response,
U2-S23-EXITTICKETA-01,Exit Ticket A,2.3,"I can formulate linear equations from graphs, tables, and situations.",,"Intro evidence pulse: Find rate and starting value from two points, then write the equation.",Equation / Ordered Pairs,constructed response,
