same slope different intercepts,parallel lines
greater positive slope,faster increase
y intercept compares,starting value
slope compares,rate of change
A slope 3 B slope 2 faster,A
A start 5 B start 8 higher start,B
same point means same line,not necessarily
looks steeper with different scales,not enough evidence
y=2x+1 vs y=4x-3 faster,second
y=-x+5 vs y=-3x+2 greater slope,first
equal slopes and equal intercepts,same line
A start 10 rate 1 B start 2 rate 4 faster,B
A start 10 rate 1 B start 2 rate 4 starts higher,A
comparison feature 1,slope
comparison feature 2,intercept
crossing lines can share,one ordered pair
parallel distinct lines share slope,yes
axis scale must be checked,yes
