order,bank_id,destination,section,i_can,stage,question_family_id,variation,representation,response_type,summative_version,mastery_goal_id
1,U8-S1-WTC-001,WTC,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-WTC-MODEL,WTC,Table + Graph,constructed/open response,,
2,U8-S1-EX-01,Notes Example,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-LINEAR,EX1,Table,constructed/open response,,
3,U8-S1-YTI-01,Notes YTI,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-LINEAR,YTI1,Table,constructed/open response,,
4,U8-S1-EX-02,Notes Example,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-QUADRATIC,EX2,Table,constructed/open response,,
5,U8-S1-YTI-02,Notes YTI,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-QUADRATIC,YTI2,Table,constructed/open response,,
6,U8-S1-EX-03,Notes Example,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-TABLE-EXP,EX3,Table,constructed/open response,,
7,U8-S1-YTI-03,Notes YTI,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-TABLE-EXP,YTI3,Table,constructed/open response,,
8,U8-S1-EX-04,Notes Example,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-EQUATION-FAMILY,EX4,Equation,constructed/open response,,
9,U8-S1-YTI-04,Notes YTI,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-EQUATION-FAMILY,YTI4,Equation,constructed/open response,,
10,U8-S1-EX-05,Notes Example,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-CONTEXT-MODEL,EX5,Context,constructed/open response,,
11,U8-S1-YTI-05,Notes YTI,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-CONTEXT-MODEL,YTI5,Context,constructed/open response,,
12,U8-S1-EX-06,Notes Example,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-GRAPH-FAMILY,EX6,Graph,constructed/open response,,
13,U8-S1-YTI-06,Notes YTI,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-GRAPH-FAMILY,YTI6,Graph,constructed/open response,,
14,U8-S1-P1-01,Practice Set 1,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-QUADRATIC,P1-1,Table,constructed/open response,,
15,U8-S1-P1-02,Practice Set 1,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-EXP,P1-2,Table,constructed/open response,,
16,U8-S1-P1-03,Practice Set 1,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-EQUATION-FAMILY,P1-3,Equation,constructed/open response,,
17,U8-S1-P1-04,Practice Set 1,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-CONTEXT-MODEL,P1-4,Context,constructed/open response,,
18,U8-S1-P1-05,Practice Set 1,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-GRAPH-FAMILY,P1-5,Graph,constructed/open response,,
19,U8-S1-P1-06,Practice Set 1,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-REVISE-MODEL,P1-6,Context + Table data,constructed/open response,,
20,U8-S1-P1-07,Practice Set 1,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-ERROR-PATTERN,P1-7,Verbal + Table pattern,constructed/open response,,
21,U8-S1-P1-08,Practice Set 1,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-MODEL-REASONABLE,P1-8,Equation + Context,constructed/open response,,
22,U8-S1-P1-09,Practice Set 1,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-DIAGNOSTIC-PATTERN,P1-9,Table,constructed/open response,,
23,U8-S1-P1-10,Practice Set 1,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-LINEAR,P1-10,Table,constructed/open response,,
24,U8-S1-P1-11,Practice Set 1,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-QUADRATIC,P1-11,Table,constructed/open response,,
25,U8-S1-P1-12,Practice Set 1,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-TABLE-EXP,P1-12,Table,constructed/open response,,
26,U8-S1-P1-13,Practice Set 1,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-EQUATION-FAMILY,P1-13,Equation,constructed/open response,,
27,U8-S1-P1-14,Practice Set 1,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-CONTEXT-MODEL,P1-14,Context,constructed/open response,,
28,U8-S1-P1-15,Practice Set 1,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-GRAPH-FAMILY,P1-15,Graph,constructed/open response,,
29,U8-S1-P1-16,Practice Set 1,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-REVISE-MODEL,P1-16,Context + Table data,constructed/open response,,
30,U8-S1-P1-17,Practice Set 1,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-ERROR-PATTERN,P1-17,Verbal + Table pattern,constructed/open response,,
31,U8-S1-P1-18,Practice Set 1,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-MODEL-REASONABLE,P1-18,Equation + Context,constructed/open response,,
32,U8-S1-P1-19,Practice Set 1,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,P1-19,Equation + Table data,constructed/open response,,
33,U8-S1-P1-20,Practice Set 1,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-FEATURES,P1-20,Equation,constructed/open response,,
34,U8-S1-P1-21,Practice Set 1,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-MATCH,P1-21,Verbal/Table pattern,constructed/open response,,
