unit,section,section_title,learning_target,i_can_order,i_can_text,intro_stage,review_stage,mastery_stage,mastery_goal_id,mastery_goal_text
5,5.1,GCF and Structure,Students will identify common factors and use structure to rewrite polynomial expressions.,1,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,Identify common factors and use structure to rewrite polynomial expressions.,"Add, subtract, and multiply polynomial expressions.",Solve systems using substitution and choose efficient forms for solving.,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions."
5,5.1,GCF and Structure,Students will identify common factors and use structure to rewrite polynomial expressions.,2,I can apply structure to rewrite polynomial expressions in a more useful form.,Identify common factors and use structure to rewrite polynomial expressions.,"Add, subtract, and multiply polynomial expressions.",Solve systems using substitution and choose efficient forms for solving.,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions."
5,5.1,GCF and Structure,Students will identify common factors and use structure to rewrite polynomial expressions.,3,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,Identify common factors and use structure to rewrite polynomial expressions.,"Add, subtract, and multiply polynomial expressions.",Solve systems using substitution and choose efficient forms for solving.,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions."
5,5.2,Factoring Trinomials,"Students will factor quadratic trinomials using patterns, products, sums, and structure.",1,I can build factored forms of quadratic trinomials using product-sum relationships.,"Factor quadratic trinomials using patterns, products, sums, and structure.",Connect polynomial expressions to quadratic graphs and key features.,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions."
5,5.2,Factoring Trinomials,"Students will factor quadratic trinomials using patterns, products, sums, and structure.",2,I can use patterns in coefficients and constants to factor quadratic trinomials.,"Factor quadratic trinomials using patterns, products, sums, and structure.",Connect polynomial expressions to quadratic graphs and key features.,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions."
5,5.2,Factoring Trinomials,"Students will factor quadratic trinomials using patterns, products, sums, and structure.",3,I can predict missing factors or terms by extending product-sum reasoning.,"Factor quadratic trinomials using patterns, products, sums, and structure.",Connect polynomial expressions to quadratic graphs and key features.,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions."
5,5.3,Special Factoring Patterns,Students will recognize and factor special polynomial patterns.,1,I can design a strategy for factoring special polynomial patterns.,Recognize and factor special polynomial patterns.,"Identify common function families from graphs, equations, tables, and contexts.",Create and solve systems that model real-world situations.,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution."
5,5.3,Special Factoring Patterns,Students will recognize and factor special polynomial patterns.,2,I can apply difference-of-squares and perfect-square-trinomial patterns.,Recognize and factor special polynomial patterns.,"Identify common function families from graphs, equations, tables, and contexts.",Create and solve systems that model real-world situations.,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution."
5,5.3,Special Factoring Patterns,Students will recognize and factor special polynomial patterns.,3,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,Recognize and factor special polynomial patterns.,"Identify common function families from graphs, equations, tables, and contexts.",Create and solve systems that model real-world situations.,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution."
5,5.4,Factored Form and Zeros,"Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",1,I can formulate quadratic functions in factored form from zeros or intercepts.,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",Graph and write translated functions using key points and key features.,Graph and interpret linear inequalities.,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.
5,5.4,Factored Form and Zeros,"Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",2,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",Graph and write translated functions using key points and key features.,Graph and interpret linear inequalities.,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.
5,5.4,Factored Form and Zeros,"Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",3,"I can extend connections among factors, zeros, intercepts, and graph behavior.","Connect factors, zeros, intercepts, and graphs of quadratic functions.",Graph and write translated functions using key points and key features.,Graph and interpret linear inequalities.,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.
5,5.5,Comparing Quadratic Forms,"Students will compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",1,I can construct equivalent quadratic forms to reveal different key features.,"Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.","Analyze and graph transformations involving stretches, compressions, and reflections.",Analyze and interpret systems of linear inequalities.,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context."
5,5.5,Comparing Quadratic Forms,"Students will compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",2,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.","Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.","Analyze and graph transformations involving stretches, compressions, and reflections.",Analyze and interpret systems of linear inequalities.,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context."
5,5.5,Comparing Quadratic Forms,"Students will compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",3,I can critique which quadratic form best supports a given question or context.,"Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.","Analyze and graph transformations involving stretches, compressions, and reflections.",Analyze and interpret systems of linear inequalities.,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context."
