bank_id,section,destination,priority_phase,issue_category,issue_severity,original_status,repair_action,student_prompt_changed,answer_changed,figure_or_table_changed,metadata_changed,original_prompt_hash,final_prompt_hash,validation_method,final_status,notes
U1-S4-WTC01,1.4,What's To Come,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,54e78d77e4c0ea08f80607fff8e69fb0d5e3ca29f85ed6542348c2324f01487f,54e78d77e4c0ea08f80607fff8e69fb0d5e3ca29f85ed6542348c2324f01487f,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-EX01,1.4,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,50c10a96f433b878067a76106c2c79fe6236c2b0af114bacdb2a20368b4c2a58,50c10a96f433b878067a76106c2c79fe6236c2b0af114bacdb2a20368b4c2a58,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-YTI01,1.4,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,f9938b03f365029304a432dc670abe7ea884e741c980c73d787b7658d256bd7a,f9938b03f365029304a432dc670abe7ea884e741c980c73d787b7658d256bd7a,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-EX02,1.4,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,ba913d84aa0c17e3225e1b7f61e2393fe05bc4a710ffe4a77fd26f466bfd87b9,ba913d84aa0c17e3225e1b7f61e2393fe05bc4a710ffe4a77fd26f466bfd87b9,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-YTI02,1.4,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,bac9918921728cfbbfb603601c7f9bb0f8722a4b9e55e057543f0b48e7a71b50,bac9918921728cfbbfb603601c7f9bb0f8722a4b9e55e057543f0b48e7a71b50,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-EX03,1.4,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,19e503bae8bdbbada74b2148774f415eea4d856c2cfc502b3aa501807f394faf,19e503bae8bdbbada74b2148774f415eea4d856c2cfc502b3aa501807f394faf,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-YTI03,1.4,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,2b2cb7728e82b1645368128b36367f823b89b9732dfc52a1bf9347f977f6f549,2b2cb7728e82b1645368128b36367f823b89b9732dfc52a1bf9347f977f6f549,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-EX04,1.4,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,acfd6ba4bf0614e592e28f26bc9c20a350d0b1bb677c7052ac632e1d65d40887,acfd6ba4bf0614e592e28f26bc9c20a350d0b1bb677c7052ac632e1d65d40887,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S4-NOTE-YTI04,1.4,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,5df5847cbf8cd95456828b95cce72f779b0c04c94ac3ebacf94adde2386698a7,5df5847cbf8cd95456828b95cce72f779b0c04c94ac3ebacf94adde2386698a7,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-WTC01,1.5,What's To Come,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,826d631eaa7f8741919a89912fa2c195f88479c22f21907aa5694e749ba2c62e,826d631eaa7f8741919a89912fa2c195f88479c22f21907aa5694e749ba2c62e,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
