Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s),Time Limit (sec)
1,A scatter plot forms a tight upward band. Which description fits best?,strong negative trend,strong positive linear trend,no association,perfect curve,2,30
2,A prediction uses an input inside the observed data range. What is it called?,extrapolation,residual,intercept,interpolation,4,30
3,A prediction uses an input far beyond the observed data range. What is it called?,extrapolation,interpolation,correlation,slope,1,30
4,A useful line of fit must pass through every data point exactly.,True,Only for positive trends,False,Only when slope is 1,3,30
5,A scatter plot forms a tight downward band. Which description fits best?,strong positive trend,strong negative linear trend,no association,perfect upward curve,2,30
6,A scatter plot has points with no clear upward or downward pattern. Which description fits best?,little or no association,strong positive trend,strong negative trend,perfect line,1,30
7,Data were collected for x=1 to x=10. Predicting at x=6 is what kind of prediction?,extrapolation,residual,intercept,interpolation,4,30
8,Data were collected for x=1 to x=10. Predicting at x=14 is what kind of prediction?,interpolation,correlation,extrapolation,slope,3,30
9,A model is y=3x+4. What does it predict at x=5?,19,15,16,23,1,30
10,A model is y=-2x+30. What does it predict at x=8?,16,14,22,46,2,30
11,Observed is 18 and predicted is 20. What is observed minus predicted?,2,38,0,-2,4,30
12,Observed is 27 and predicted is 24. What is observed minus predicted?,-3,3,51,1,2,30
13,A model misses each observed value by only 1 or 2 units. What does that suggest?,it must be rejected,the slope is zero,it may be a useful rough model,the data are exact,3,30
14,A scatter plot bends sharply upward as x grows. Is one straight line a perfect model?,No,Yes,Only if intercept is 0,Only for positive x,1,30
15,A line of fit predicts 42 when the observed value is 40. What is the prediction error observed-predicted?,2,82,0,-2,4,30
16,Which prediction is usually safer for an approximately linear data set?,far extrapolation,either is always exact,interpolation,neither can use a model,3,30
17,A model has slope 6 in dollars per hour. What does the slope represent?,6-dollar starting value,6-dollar increase per hour,6 hours total,6-dollar prediction error,2,30
18,A model has y-intercept 120 dollars. What does the intercept represent?,increase per unit x,largest residual,correlation strength,predicted value when x=0,4,30
19,A scatter plot follows a roughly straight upward trend with small scatter. Is a linear model reasonable?,"Yes, for the displayed range","No, never",Only if every point is exact,Only if slope is 1,1,30
20,Why might actual data differ from a line-of-fit prediction?,"the line models a trend, not every exact value",the graph has no scale,all residuals must be zero,interpolation is impossible,1,30
