bank_id,destination,section,exact_i_can,stage,evidence_job,mastery_goal,representation,security,summative_version
U7_S1_EXIT_TICKET_A_01,Exit Ticket A,1,I can apply repeated multiplication and constant ratios to exponential patterns.,Intro,Quick evidence for current Unit 7 section 1 Intro learning.,,Equation,instructional,
U7_S1_EXIT_TICKET_A_02,Exit Ticket A,1,I can determine whether a relationship is exponential by checking how values change across representations.,Intro,Quick evidence for current Unit 7 section 1 Intro learning.,,Equation,instructional,
U7_S1_EXIT_TICKET_A_03,Exit Ticket A,1,"I can construct evidence from patterns, tables, graphs, and situations to support an exponential growth or decay relationship.",Intro,Quick evidence for current Unit 7 section 1 Intro learning.,,Context,instructional,
U7_S1_EXIT_TICKET_A_04,Exit Ticket A,1,"I can construct evidence from patterns, tables, graphs, and situations to support an exponential growth or decay relationship.",Intro,Quick evidence for current Unit 7 section 1 Intro learning.,,Table,instructional,
U7_S1_EXIT_TICKET_B_01,Exit Ticket B,1,Solve quadratic equations using the quadratic formula and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 1.,,Equation,instructional,
U7_S1_EXIT_TICKET_B_02,Exit Ticket B,1,Solve quadratic equations using the quadratic formula and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 1.,,Equation,instructional,
U7_S1_EXIT_TICKET_B_03,Exit Ticket B,1,Solve quadratic equations using the quadratic formula and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 1.,,Context + Equation,instructional,
U7_S1_EXIT_TICKET_B_04,Exit Ticket B,1,Solve quadratic equations using the quadratic formula and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 1.,,Equation,instructional,
U7_S1_EXIT_TICKET_C_01,Exit Ticket C,1,Recognize and factor special polynomial patterns.,Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
U7_S1_EXIT_TICKET_C_02,Exit Ticket C,1,Recognize and factor special polynomial patterns.,Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
