Write a linear equation in slope-intercept form for the line through $(-3,-1)$ and $(3,2)$.	$m=\frac{1}{2}$ and $b=\frac{1}{2}$, so $y=\frac{1}{2}x+\frac{1}{2}$.
Write an equation in slope-intercept form for the relationship in the table. $x$ $y$ $-2$ $-8$ $0$ $-2$ $2$ $4$ $4$ $10$	The constant rate is $3$ and the value at $x=0$ is $-2$, so $y=3x-2$.
Write an equation in slope-intercept form for the graphed line. Use graph features as evidence.	The graph has slope $\frac{2}{3}$ and $y$-intercept $-3$, so $y=\frac{2}{3}x-3$.
A candle is 18 cm tall and burns down 1.5 cm each hour. Let $h$ be hours and $H$ be height. Write $H$ as a function of $h$. Identify the hourly change and the initial height.	$H=-\frac{3}{2}h+18$. The slope $-\frac{3}{2}$ is the change in H per unit of h; the intercept $18$ is the starting value.
For $y=3x+8$, explain the roles of $m$ and $b$. Then give one ordered pair that must lie on the line.	$m=3$ is the constant rate of change and $b=8$ is the value when $x=0$. For example, $(2,14)$ lies on the line.
A linear relationship is represented by $y=-x+4$. Write a different equation that is equivalent to it after moving all terms to one side, and verify that $(3,1)$ satisfies both forms.	One equivalent form is $-x-y+4=0$. Substituting $x=3$ and $y=1$ makes both equations true.
A tank contains 70 liters and drains 5 liters per minute. Let $t$ be minutes and $V$ be liters remaining. Write $V$ as a function of $t$. Identify the per-minute change and the initial volume.	$V=-5t+70$. The slope $-5$ is the change in V per unit of t; the intercept $70$ is the starting value.
For $y=-2x+14$, explain the roles of $m$ and $b$. Then give one ordered pair that must lie on the line.	$m=-2$ is the constant rate of change and $b=14$ is the value when $x=0$. For example, $(2,10)$ lies on the line.
A linear relationship is represented by $y=\frac{1}{2}x+5$. Write a different equation that is equivalent to it after moving all terms to one side, and verify that $(9,\frac{19}{2})$ satisfies both forms.	One equivalent form is $\frac{1}{2}x-y+5=0$. Substituting $x=9$ and $y=\frac{19}{2}$ makes both equations true.
Write the equation with slope 2 and $y$-intercept 5.	$y=2x+5$.
Write the equation with slope -3 and $y$-intercept 4.	$y=-3x+4$.
Write the equation with slope $\frac12$ and $y$-intercept -2.	$y=\frac12x-2$.
A plan starts at 18 dollars and adds 6 dollars/month. Write the model.	$C=6m+18$.
A tank starts at 90 liters and drains 5 liters/min. Write the model.	$V=-5t+90$.
A runner is 2 miles from home and moves away at 3 mph. Write the model.	$d=3t+2$.
Rewrite $y=2x-7$ with all terms on one side.	$2x-y-7=0$.
Rewrite $y=-x+5$ with all terms on one side.	$-x-y+5=0$.
Rewrite $y=4x+1$ with all terms on one side.	$4x-y+1=0$.
