q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
6-S1-DOK1.01,formative,6,1,—,dok1-1 V1-4,number-swap,—
6-S1-DOK1.02,formative,6,1,—,dok1-1 V5-6,combine,6-S1-DOK1.03
6-S1-DOK1.03,formative,6,1,—,dok1-1 V5-6,combine,6-S1-DOK1.02
6-S1-DOK1.08,formative,6,1,—,dok1-1 V7-8,combine,6-S1-DOK1.09
6-S1-DOK1.09,formative,6,1,—,dok1-1 V7-8,combine,6-S1-DOK1.08
6-S2-DOK1.01,formative,6,2,—,dok1-2 V1-4,number-swap,—
6-S2-DOK1.02,formative,6,2,—,dok1-2 V5-6,combine,6-S2-DOK1.03;6-S2-DOK1.06
6-S2-DOK1.03,formative,6,2,—,dok1-2 V5-6,combine,6-S2-DOK1.02;6-S2-DOK1.06
6-S2-DOK1.06,formative,6,2,—,dok1-2 V5-6,combine,6-S2-DOK1.02;6-S2-DOK1.03
6-S2-DOK1.04,formative,6,2,—,dok1-2 V7-8,combine,6-S2-DOK1.08
6-S2-DOK1.08,formative,6,2,—,dok1-2 V7-8,combine,6-S2-DOK1.04
6-S3-DOK1.01,formative,6,3,—,dok1-3 V1-4,number-swap,—
6-S3-DOK1.09,formative,6,3,—,dok1-3 V5-6,combine,6-S3-DOK1.10
6-S3-DOK1.10,formative,6,3,—,dok1-3 V5-6,combine,6-S3-DOK1.09
6-S3-DOK1.05,formative,6,3,—,dok1-3 V7-8,combine,6-S3-DOK1.07
6-S3-DOK1.07,formative,6,3,—,dok1-3 V7-8,combine,6-S3-DOK1.05
6-S4-DOK1.01,formative,6,4,—,dok1-4 V1-4,number-swap,—
6-S4-DOK1.10,formative,6,4,—,dok1-4 V5-6,combine,6-S4-DOK1.11
6-S4-DOK1.11,formative,6,4,—,dok1-4 V5-6,combine,6-S4-DOK1.10
6-S5-DOK1.01,formative,6,5,—,dok1-4 V7-8,combine,6-S5-DOK1.03
6-S5-DOK1.03,formative,6,5,—,dok1-4 V7-8,combine,6-S5-DOK1.01
6-S1-DOK2.01,formative,6,1,—,dok2-1 V1-4,number-swap,—
6-S1-DOK2.02,formative,6,1,—,dok2-1 V5-6,combine,6-S1-DOK2.06
6-S1-DOK2.06,formative,6,1,—,dok2-1 V5-6,combine,6-S1-DOK2.02
6-S1-DOK2.05,formative,6,1,—,dok2-1 V7-8,combine,6-S1-DOK2.04
6-S1-DOK2.04,formative,6,1,—,dok2-1 V7-8,combine,6-S1-DOK2.05
6-S2-DOK2.02,formative,6,2,—,dok2-2 V1-4,number-swap,—
6-S2-DOK2.06,formative,6,2,—,dok2-2 V5-6,combine,6-S2-DOK2.09
6-S2-DOK2.09,formative,6,2,—,dok2-2 V5-6,combine,6-S2-DOK2.06
6-S2-DOK2.05,formative,6,2,—,dok2-2 V7-8,combine,6-S2-DOK2.04
6-S2-DOK2.04,formative,6,2,—,dok2-2 V7-8,combine,6-S2-DOK2.05
6-S3-DOK2.02,formative,6,3,—,dok2-3 V1-4,number-swap,—
6-S3-DOK2.06,formative,6,3,—,dok2-3 V5-6,combine,6-S3-DOK2.07
6-S3-DOK2.07,formative,6,3,—,dok2-3 V5-6,combine,6-S3-DOK2.06
6-S3-DOK2.05,formative,6,3,—,dok2-3 V7-8,combine,6-S3-DOK2.03
6-S3-DOK2.03,formative,6,3,—,dok2-3 V7-8,combine,6-S3-DOK2.05
6-S5-DOK2.02,formative,6,5,—,dok2-4 V1-4,number-swap,—
6-S4-DOK2.02,formative,6,4,—,dok2-4 V5-6,combine,6-S4-DOK2.06
6-S4-DOK2.06,formative,6,4,—,dok2-4 V5-6,combine,6-S4-DOK2.02
6-S5-DOK2.05,formative,6,5,—,dok2-4 V7-8,combine,6-S5-DOK2.06
6-S5-DOK2.06,formative,6,5,—,dok2-4 V7-8,combine,6-S5-DOK2.05
6-S1-DOK3.01,formative,6,1,—,dok3-1 V1-4,number-swap,—
6-S1-DOK3.02,formative,6,1,—,dok3-1 V5-6,combine,6-S1-DOK3.04
6-S1-DOK3.04,formative,6,1,—,dok3-1 V5-6,combine,6-S1-DOK3.02
6-S1-DOK3.03,formative,6,1,—,dok3-1 V7-8,number-swap,—
6-S2-DOK3.01,formative,6,2,—,dok3-2 V1-4,number-swap,—
6-S2-DOK3.02,formative,6,2,—,dok3-2 V5-6,combine,6-S2-DOK3.03
6-S2-DOK3.03,formative,6,2,—,dok3-2 V5-6,combine,6-S2-DOK3.02
6-S2-DOK3.04,formative,6,2,—,dok3-2 V7-8,number-swap,—
6-S3-DOK3.01,formative,6,3,—,dok3-3 V1-4,number-swap,—
