summative_version,order,bank_id,mastery_goal,exact_target,question_family_id,representation,response_type,estimated_time_sec,source_basis
V1,1,u5_sum_v1_01,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-SOLVE,Equation,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V1,2,u5_sum_v1_02,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",SUM-MG02-MODEL,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V1,3,u5_sum_v1_03,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,SUM-MG03-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V1,4,u5_sum_v1_04,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-TYPE,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V1,5,u5_sum_v1_05,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-MG04-SYSTEM-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V1,6,u5_sum_v1_06,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-INTEGRATED,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V2,1,u5_sum_v2_01,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",SUM-MG02-MODEL,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V2,2,u5_sum_v2_02,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-TYPE,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V2,3,u5_sum_v2_03,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-MG04-SYSTEM-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V2,4,u5_sum_v2_04,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-SOLVE,Equation,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V2,5,u5_sum_v2_05,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-INTEGRATED,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V2,6,u5_sum_v2_06,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,SUM-MG03-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V3,1,u5_sum_v3_01,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,SUM-MG03-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V3,2,u5_sum_v3_02,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-SOLVE,Equation,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V3,3,u5_sum_v3_03,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-MG04-SYSTEM-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V3,4,u5_sum_v3_04,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",SUM-MG02-MODEL,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
