y-intercept of y=7(2)^x	(0,7)
horizontal asymptote of y=5(0.4)^x	y=0
Domain of y=3(2)^x	all real numbers
Range of y=3(2)^x	y>0
Factor 1.6 means graph behavior	growth
Factor 0.7 means graph behavior	decay
As x→∞ for y=4(0.5)^x	approaches 0
As x→∞ for y=2(1.5)^x	grows without bound
Key point of y=9(3)^x at x=0	(0,9)
For y=8(0.5)^x, value at x=1	4
For y=8(0.5)^x, value at x=2	2
For y=3(2)^x, value at x=-1	1.5
An exponential graph crosses its horizontal asymptote?	no
Larger growth factor, same positive start: long-run graph	grows faster
A decay graph with positive initial value stays	above y=0
If a>0 and b>1, end behavior to the right	increases
If a>0 and 0<b<1, end behavior to the right	decreases toward 0
At x=0, exponential factor b^x equals	1
