summative_version,bank_id,question_family_id,variation,mastery_goal,exact_target,response_type,representation,task_architecture,estimated_time_sec,source_basis
V1,U1-SUM-V1-Q01,SUM-RAT-INT,V1-RAT-INT,U1-MG01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",constructed response,Numerical expression,PROC-DIRECT-EXECUTE-01,150,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q02,SUM-RAT-FRAC,V1-RAT-FRAC,U1-MG01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",constructed response,Fraction expression,PROC-DIRECT-EXECUTE-01,180,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q03,SUM-EVAL,V1-EVAL,U1-MG01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",constructed response,Algebraic expression,PROC-DIRECT-EXECUTE-01,180,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q04,SUM-DIST,V1-DIST,U1-MG02,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",constructed response,Expression,PROC-DIRECT-EXECUTE-01,210,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q05,SUM-FACTOR,V1-FACTOR,U1-MG02,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",constructed response,Expression,PROC-SELECT-STRATEGY-01,210,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q06,SUM-EQ-SOLVE,V1-EQ-SOLVE,U1-MG03,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,constructed response,Equation,PROC-MULTISTEP-CHAIN-01,210,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q07,SUM-EQ-CONTEXT,V1-EQ-CONTEXT,U1-MG03,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,constructed response,Context + Equation,MULTISTEP-REAL-CONTEXT-DECOMPOSE-01,270,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q08,SUM-INEQ-SOLVE,V1-INEQ-SOLVE,U1-MG04,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",constructed response,Equation + Number line,REPTRANS-GRAPH-TABLE-EQUATION-01,240,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q09,SUM-INEQ-CONTEXT,V1-INEQ-CONTEXT,U1-MG04,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",constructed response,Context + Inequality,MULTISTEP-REAL-CONTEXT-DECOMPOSE-01,240,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V1,U1-SUM-V1-Q10,SUM-REASON,V1-REASON,U1-MG03,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,constructed response,Equation + Check,VERIFY-REASONABLENESS-01,240,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q01,SUM-EQ-SOLVE,V2-EQ-SOLVE,U1-MG03,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,constructed response,Equation,PROC-MULTISTEP-CHAIN-01,210,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q02,SUM-RAT-INT,V2-RAT-INT,U1-MG01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",constructed response,Numerical expression,PROC-DIRECT-EXECUTE-01,150,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q03,SUM-INEQ-SOLVE,V2-INEQ-SOLVE,U1-MG04,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",constructed response,Equation + Number line,REPTRANS-GRAPH-TABLE-EQUATION-01,240,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q04,SUM-DIST,V2-DIST,U1-MG02,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",constructed response,Expression,PROC-DIRECT-EXECUTE-01,210,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q05,SUM-RAT-FRAC,V2-RAT-FRAC,U1-MG01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",constructed response,Fraction expression,PROC-DIRECT-EXECUTE-01,180,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q06,SUM-INEQ-CONTEXT,V2-INEQ-CONTEXT,U1-MG04,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",constructed response,Context + Inequality,MULTISTEP-REAL-CONTEXT-DECOMPOSE-01,240,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q07,SUM-FACTOR,V2-FACTOR,U1-MG02,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",constructed response,Expression,PROC-SELECT-STRATEGY-01,210,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q08,SUM-EVAL,V2-EVAL,U1-MG01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",constructed response,Algebraic expression,PROC-DIRECT-EXECUTE-01,180,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
V2,U1-SUM-V2-Q09,SUM-REASON,V2-REASON,U1-MG03,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,constructed response,Equation + Check,VERIFY-REASONABLENESS-01,240,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.35 + Question Structure Toolkit v1.7; 3f evidence/assessment wording authored fresh.
V2,U1-SUM-V2-Q10,SUM-EQ-CONTEXT,V2-EQ-CONTEXT,U1-MG03,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,constructed response,Context + Equation,MULTISTEP-REAL-CONTEXT-DECOMPOSE-01,270,Original Unit 1 Assessment Plan + Algebra 1 Framework v6.9 curated enrichment + current Question Structure Toolkit; wording authored fresh.
