section,section_id,section_title,learning_target,exact_i_can,intro_stage,review_stage,mastery_stage,mastery_goal
1,7.1,Recognizing Growth and Decay,"Students will identify exponential relationships from patterns, tables, graphs, and situations.","I can construct evidence from patterns, tables, graphs, and situations to support an exponential growth or decay relationship.","Identify exponential relationships from patterns, tables, graphs, and situations.",Solve quadratic equations using the quadratic formula and interpret solutions.,Recognize and factor special polynomial patterns.,U7-MG02
1,7.1,Recognizing Growth and Decay,"Students will identify exponential relationships from patterns, tables, graphs, and situations.",I can apply repeated multiplication and constant ratios to exponential patterns.,"Identify exponential relationships from patterns, tables, graphs, and situations.",Solve quadratic equations using the quadratic formula and interpret solutions.,Recognize and factor special polynomial patterns.,U7-MG02
1,7.1,Recognizing Growth and Decay,"Students will identify exponential relationships from patterns, tables, graphs, and situations.",I can determine whether a relationship is exponential by checking how values change across representations.,"Identify exponential relationships from patterns, tables, graphs, and situations.",Solve quadratic equations using the quadratic formula and interpret solutions.,Recognize and factor special polynomial patterns.,U7-MG02
2,7.2,Writing Exponential Equations,"Students will write exponential equations from tables, graphs, and situations.",I can build exponential equations using an initial value and a growth or decay factor.,"Write exponential equations from tables, graphs, and situations.",Solve quadratic equations using factored form and interpret solutions.,Identify common factors and use structure to rewrite polynomial expressions.,U7-MG01
2,7.2,Writing Exponential Equations,"Students will write exponential equations from tables, graphs, and situations.","I can use exponential equations to predict values from tables, graphs, and situations.","Write exponential equations from tables, graphs, and situations.",Solve quadratic equations using factored form and interpret solutions.,Identify common factors and use structure to rewrite polynomial expressions.,U7-MG01
2,7.2,Writing Exponential Equations,"Students will write exponential equations from tables, graphs, and situations.",I can formulate exponential equations that represent repeated percent increase or decrease.,"Write exponential equations from tables, graphs, and situations.",Solve quadratic equations using factored form and interpret solutions.,Identify common factors and use structure to rewrite polynomial expressions.,U7-MG01
3,7.3,Graphing and Analyzing Exponential Functions,Students will graph exponential functions and analyze key features.,"I can design graphs of exponential functions using key points, growth or decay factors, and asymptote behavior.",Graph exponential functions and analyze key features.,Solve quadratic equations by completing the square and connect the process to vertex form.,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",U7-MG03
3,7.3,Graphing and Analyzing Exponential Functions,Students will graph exponential functions and analyze key features.,"I can apply key features of exponential graphs to interpret domain, range, intercepts, and end behavior.",Graph exponential functions and analyze key features.,Solve quadratic equations by completing the square and connect the process to vertex form.,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",U7-MG03
3,7.3,Graphing and Analyzing Exponential Functions,Students will graph exponential functions and analyze key features.,I can assess whether a graph is reasonable for an exponential equation or situation.,Graph exponential functions and analyze key features.,Solve quadratic equations by completing the square and connect the process to vertex form.,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",U7-MG03
4,7.4,Comparing Function Families,"Students will compare linear, quadratic, and exponential functions using multiple representations.","I can formulate comparisons among linear, quadratic, and exponential functions using rates, differences, ratios, and graph features.","Compare linear, quadratic, and exponential functions using multiple representations.","Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.","Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",U7-MG04
4,7.4,Comparing Function Families,"Students will compare linear, quadratic, and exponential functions using multiple representations.","I can use tables, graphs, equations, and situations to distinguish additive, quadratic, and multiplicative patterns.","Compare linear, quadratic, and exponential functions using multiple representations.","Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.","Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",U7-MG04
4,7.4,Comparing Function Families,"Students will compare linear, quadratic, and exponential functions using multiple representations.",I can critique claims about function families using evidence from multiple representations.,"Compare linear, quadratic, and exponential functions using multiple representations.","Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.","Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",U7-MG04
5,7.5,Exponential Modeling with Data,Students will create and analyze exponential models using real-world data.,I can construct exponential models from real-world data using an initial value and a growth or decay factor.,Create and analyze exponential models using real-world data.,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.","Factor quadratic trinomials using patterns, products, sums, and structure.",U7-MG02
5,7.5,Exponential Modeling with Data,Students will create and analyze exponential models using real-world data.,I can extend exponential models to make predictions and interpret results in context.,Create and analyze exponential models using real-world data.,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.","Factor quadratic trinomials using patterns, products, sums, and structure.",U7-MG02
5,7.5,Exponential Modeling with Data,Students will create and analyze exponential models using real-world data.,I can assess model fit and limitations when exponential data do not follow a perfect pattern.,Create and analyze exponential models using real-world data.,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.","Factor quadratic trinomials using patterns, products, sums, and structure.",U7-MG02
