unit_section,route_stage,source_section,target_type,exact_target,mastery_goal
6.1,Intro,6.1,I-can,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",
6.1,Intro,6.1,I-can,I can apply the zero product property to solve quadratic equations in factored form.,
6.1,Intro,6.1,I-can,I can determine whether solutions make sense in relation to a graph or context.,
6.1,Review,5.4,I-can,I can formulate quadratic functions in factored form from zeros or intercepts.,
6.1,Review,5.4,I-can,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,
6.1,Review,5.4,I-can,"I can extend connections among factors, zeros, intercepts, and graph behavior.",
6.1,Mastery,4.5,I-can,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04
6.1,Mastery,4.5,I-can,I can predict graph features from equivalent quadratic expressions.,U6-MG04
6.1,Mastery,4.5,I-can,"I can critique whether a polynomial expression supports a claimed vertex, intercept, axis of symmetry, or direction of opening.",U6-MG04
6.2,Intro,6.2,I-can,I can build perfect-square trinomials by adding the needed constant term.,
6.2,Intro,6.2,I-can,I can use completing the square to solve quadratic equations and write equivalent vertex-form expressions.,
6.2,Intro,6.2,I-can,I can predict how completing the square reveals the vertex and symmetry of a quadratic function.,
6.2,Review,5.5,I-can,I can construct equivalent quadratic forms to reveal different key features.,
6.2,Review,5.5,I-can,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",
6.2,Review,5.5,I-can,I can critique which quadratic form best supports a given question or context.,
6.2,Mastery,4.2,I-can,I can build translated graphs by moving key points and key features from a parent function.,U6-MG02
6.2,Mastery,4.2,I-can,I can use horizontal and vertical shifts to write equations for translated functions.,U6-MG02
6.2,Mastery,4.2,I-can,"I can predict how changing values in an equation moves a graph left, right, up, or down.",U6-MG02
6.3,Intro,6.3,I-can,"I can design a coefficient map that organizes $a$, $b$, and $c$ before using the quadratic formula.",
6.3,Intro,6.3,I-can,"I can apply the quadratic formula to solve equations with rational, irrational, or no real solutions.",
6.3,Intro,6.3,I-can,I can assess how the discriminant predicts the number and type of real solutions.,
6.3,Review,5.1,I-can,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,
6.3,Review,5.1,I-can,I can apply structure to rewrite polynomial expressions in a more useful form.,
6.3,Review,5.1,I-can,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,
6.3,Mastery,4.4,I-can,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",U6-MG03
6.3,Mastery,4.4,I-can,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03
6.3,Mastery,4.4,I-can,I can extend polynomial operations to equivalent expressions written in different forms.,U6-MG03
6.4,Intro,6.4,I-can,I can formulate a solution-method plan based on the structure of a quadratic equation.,
6.4,Intro,6.4,I-can,"I can use factoring, completing the square, or the quadratic formula when the equation structure supports the method.",
6.4,Intro,6.4,I-can,"I can critique a selected solution method for efficiency, accuracy, and fit to the equation.",
6.4,Review,5.3,I-can,I can design a strategy for factoring special polynomial patterns.,
6.4,Review,5.3,I-can,I can apply difference-of-squares and perfect-square-trinomial patterns.,
6.4,Review,5.3,I-can,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,
6.4,Mastery,4.1,I-can,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",U6-MG01
6.4,Mastery,4.1,I-can,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",U6-MG01
6.4,Mastery,4.1,I-can,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01
6.5,Intro,6.5,I-can,"I can construct quadratic models from real-world constraints, data, or key features.",
6.5,Intro,6.5,I-can,"I can extend quadratic models to predict maximums, minimums, intercepts, and meaningful solution values.",
6.5,Intro,6.5,I-can,I can assess whether a quadratic model and its solutions are reasonable for the situation.,
6.5,Review,5.2,I-can,I can build factored forms of quadratic trinomials using product-sum relationships.,
6.5,Review,5.2,I-can,I can use patterns in coefficients and constants to factor quadratic trinomials.,
6.5,Review,5.2,I-can,I can predict missing factors or terms by extending product-sum reasoning.,
6.5,Mastery,4.3,I-can,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",U6-MG02
6.5,Mastery,4.3,I-can,I can apply transformation rules to key points and features across function families.,U6-MG02
6.5,Mastery,4.3,I-can,"I can assess whether an equation, graph, or table represents the same transformed function.",U6-MG02
SUM,Mastery,Unit 4,Mastery Goal,"Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",U6-MG01
SUM,Mastery,Unit 4,Mastery Goal,"Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",U6-MG02
SUM,Mastery,Unit 4,Mastery Goal,"Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",U6-MG03
SUM,Mastery,Unit 4,Mastery Goal,"Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",U6-MG04
