q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
0A-S1-DOK1.03,summative,unit0A,0A.1,—,T1 V1-4,number-swap,
0A-S1-DOK1.05,summative,unit0A,0A.1,—,T1 V5-6,number-swap,
0A-S1-DOK1.06,summative,unit0A,0A.1,—,T1 V7-8,reword,
0A-S1-DOK2.01,summative,unit0A,0A.1,—,T2 V1-4,context-swap,
0A-S1-DOK2.06,summative,unit0A,0A.1,—,T2 V5-6,switch-order,
0A-S1-DOK2.09,summative,unit0A,0A.1,—,T2 V7-8,context-swap,
0A-S2-DOK1.01,summative,unit0A,0A.2,—,T3 V1-4,number-swap,
0A-S2-DOK1.03,summative,unit0A,0A.2,—,T3 V5-6,number-swap,
0A-S2-DOK1.14,summative,unit0A,0A.2,—,T3 V7-8,reword,
0A-S2-DOK2.01,summative,unit0A,0A.2,—,T4 V1-4,context-swap,
0A-S2-DOK2.05,summative,unit0A,0A.2,—,T4 V5-6,number-swap,
0A-S2-DOK2.04,summative,unit0A,0A.2,—,T4 V7-8,number-swap,
0A-S3-DOK1.04,summative,unit0A,0A.3,—,T5 V1-4,number-swap,
0A-S3-DOK1.05,summative,unit0A,0A.3,—,T5 V5-6,switch-order,
0A-S3-DOK1.12,summative,unit0A,0A.3,—,T5 V7-8,reword,
0A-S3-DOK2.01,summative,unit0A,0A.3,—,T6 V1-4,number-swap,
0A-S3-DOK2.05,summative,unit0A,0A.3,—,T6 V5-6,reword,
0A-S3-DOK2.06,summative,unit0A,0A.3,—,T6 V7-8,context-swap,
0A-S4-DOK2.02,summative,unit0A,0A.4,—,T7 V1-4,number-swap,
0A-S4-DOK2.04,summative,unit0A,0A.4,—,T7 V5-6,number-swap,
0A-S4-DOK2.03,summative,unit0A,0A.4,—,T7 V7-8,context-swap,
0A-S4-DOK3.01,summative,unit0A,0A.4,—,T8 V1-4,number-swap,
0A-S4-DOK3.03,summative,unit0A,0A.4,—,T8 V5-6,reword,
0A-S4-DOK3.04,summative,unit0A,0A.4,—,T8 V7-8,number-swap,
0A-S5-DOK1.05,summative,unit0A,0A.5,—,T9 V1-4,number-swap,
0A-S5-DOK1.04,summative,unit0A,0A.5,—,T9 V5-6,reword,
0A-S5-DOK1.01,summative,unit0A,0A.5,—,T9 V7-8,reword,
0A-S5-DOK3.01,summative,unit0A,0A.5,—,T10 V1-4,number-swap,
0A-S5-DOK3.02,summative,unit0A,0A.5,—,T10 V5-6,switch-order,
0A-S5-DOK3.04,summative,unit0A,0A.5,—,T10 V7-8,reword,
