Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,Vertex of $y=|x-4|+2$?,"(4,2)","(-4,2)","(4,-2)","(-4,-2)",1
2,Vertex of $y=2|x+1|-3$?,"(1,-3)","(-1,-3)","(-1,3)","(1,3)",2
3,Solve $|x-5|=2$.,-3 or 7,5 or 2,3 or 7,-7 or 3,3
4,Solve $|x+2|=6$.,8 or -4,6 or -2,2 or -6,4 or -8,4
5,The graph of a basic absolute-value function is shaped like a...,U,V,line,circle,2
6,"For $y=-|x|+4$, the vertex is a...",minimum,x-intercept,maximum,asymptote,3
7,"For $y=3|x-2|+1$, the minimum value is...",2,3,-1,1,4
8,"For $y=|x+3|-5$, the axis of symmetry is...",$x=-3$,$x=3$,$y=-3$,$y=3$,1
9,A piecewise rule uses interval restrictions to decide...,the graph color,the variable name,which formula applies,the unit label,3
10,"If $C(d)=4+2d$ for $0\le d\le3$, then $C(2)=$...",6,10,12,8,4
11,"If $C(d)=10+(d-3)$ for $d\gt 3$, then $C(6)=$...",13,10,16,19,1
12,A distance-from-target model with target 7 can start as...,$x-7$,$|x-7|$,$x+7$,$x^2-7$,2
13,"For $y=2|x|$, the right-hand slope is...",-2,1,0,2,4
14,"For $y=2|x|$, the left-hand slope is...",-2,2,-1,0,1
15,A piecewise model is especially useful when...,one constant rule applies everywhere,different rules apply on different intervals,there is no variable,all outputs are equal,2
16,"For $y=|x|-3$, the y-intercept is...",3,0,-3,1,3
17,Solve $|2x|=8$.,-4 or 4,-8 or 8,0 or 4,2 or 4,1
18,Ignoring interval conditions in a piecewise rule can cause...,the graph to become linear automatically,all outputs to be positive,the wrong formula to be used,the variable to disappear,3
19,"For $y=|x-1|$, the change in direction occurs at...",$x=-1$,$x=1$,$y=1$,$y=-1$,2
20,"For $y=-2|x+3|+6$, the vertex is...","(3,6)","(-3,-6)","(3,-6)","(-3,6)",4
