Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,A point is feasible when it...,satisfies every inequality,satisfies at least one inequality,lies on an axis,has positive coordinates,20,1
2,The feasible region is...,the union of any one region,the overlap of all solution regions,only the boundaries,only the origin,20,2
3,"If two solution regions do not overlap, the system has...",one guaranteed solution,all points as solutions,no feasible solution,only the origin,20,3
4,"To verify a feasible point, substitute it into...",only the first inequality,only the last inequality,no inequalities,every inequality,20,4
5,"For x+y≤18, 18 is a...",maximum total,minimum total,slope,y-intercept,20,1
6,"For y≥6, 6 is a...",maximum for y,minimum for y,slope,x-intercept,20,2
7,Nonnegativity x≥0 means...,x must equal zero,x must be positive only,x cannot be negative,x is an angle,20,3
8,A point satisfying one of two inequalities is...,always feasible,always impossible,always on a boundary,not necessarily feasible,20,4
9,"When graphing a system, final shading should show...",only the common overlap,both full half-planes separately only,no shading,only the boundaries,20,1
10,A point on a solid boundary can be feasible if...,solid boundaries are never included,it satisfies all other constraints,x=0 only,y=0 only,20,2
11,A point on a dashed boundary is excluded because...,the slope is negative,the region is empty,the inequality is strict,the axes are missing,20,3
12,Which phrase best describes a feasible point?,a point meeting one constraint,any integer point,any positive point,a choice meeting all constraints,20,4
13,A contextual system of inequalities models...,multiple simultaneous restrictions,one exact equation only,a single data point,only a function rule,20,1
14,"If (2,4) satisfies both inequalities, it lies...",outside both regions,in the feasible region,only on the x-axis,at the origin,20,2
15,The word system means the conditions must be considered...,one at a time with any one sufficient,only graphically,together,without variables,20,3
16,A feasible region may be bounded or...,always a single point,always empty,always a line,unbounded,20,4
17,Which is an example of a constraint?,a budget maximum,a random color,a graph title,a variable name alone,20,1
18,"When a model counts items, feasible points often also need...",negative coordinates,nonnegative values,imaginary values,fractional people always,20,2
19,What does overlap reasoning prevent?,using a graph,checking points,accepting a point that satisfies only one constraint,writing inequalities,20,3
20,Systems of inequalities are useful for...,finding only one exact intersection,factoring quadratics only,computing a single slope,choices under multiple constraints,20,4
