Simplify $(2x^2+3x)+(x^2-5x)$.	$3x^2-2x$
Simplify $(5x^2-x+4)-(2x^2+3x-1)$.	$3x^2-4x+5$
Multiply $3(x^2-2x+1)$.	$3x^2-6x+3$
Multiply $(x+2)(x+5)$.	$x^2+7x+10$
Multiply $(x-3)(x+4)$.	$x^2+x-12$
Multiply $(x-2)^2$.	$x^2-4x+4$
Combine like terms: $4x^2+3x-2x^2+x$.	$2x^2+4x$
Simplify $-2(x^2+3x-4)$.	$-2x^2-6x+8$
Area model side lengths are $x+3$ and $x+4$. Product?	$(x+3)(x+4)$
Expand $(x+3)(x+4)$.	$x^2+7x+12$
Area model side lengths are $x-2$ and $x+5$. Product?	$(x-2)(x+5)$
Expand $(x-2)(x+5)$.	$x^2+3x-10$
In $(x+5)(x-2)$, one missing cell is $x\cdot5$. Value?	$5x$
In $(x+5)(x-2)$, one missing cell is $(-2)x$. Value?	$-2x$
A student writes $(x+2)(x+3)=x^2+6$. What was omitted?	the two middle products
A student subtracts a polynomial but changes only the first sign. What should happen?	change the sign of every term in the subtracted polynomial
Are $(x+1)(x+4)$ and $x^2+5x+4$ equivalent?	yes — it expands to $x^2+5x+4$
Are $(x-1)(x+3)$ and $x^2+2x-3$ equivalent?	yes — it expands to $x^2+2x-3$
