version,question_number,bank_id,mastery_goal,exact_target,question_family_id,representation,response_type,estimated_time_sec,source_basis
V1,1,U6_SUM_V1_Q01,U6-MG01,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",sum_family_table,Table + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V1,2,U6_SUM_V1_Q02,U6-MG02,"I can assess whether an equation, graph, or table represents the same transformed function.",sum_transform_equation_point,Equation + Key point,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V1,3,U6_SUM_V1_Q03,U6-MG03,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",sum_poly_area_product,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V1,4,U6_SUM_V1_Q04,U6-MG04,I can predict graph features from equivalent quadratic expressions.,sum_quad_structure_features,Equation + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V1,5,U6_SUM_V1_Q05,U6-MG01,I can determine which representation gives the strongest evidence for a function family when features seem similar.,sum_family_graph,Graph + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V1,6,U6_SUM_V1_Q06,U6-MG02,I can apply transformation rules to key points and features across function families.,sum_transform_point_table_infer,Table + Equation + Key points,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V1,7,U6_SUM_V1_Q07,U6-MG03,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",sum_poly_composite_area,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V1,8,U6_SUM_V1_Q08,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_quad_vertex_from_standard,Equivalent equations + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,1,U6_SUM_V2_Q01,U6-MG03,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",sum_poly_area_product,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,2,U6_SUM_V2_Q02,U6-MG02,I can apply transformation rules to key points and features across function families.,sum_transform_point_table_infer,Table + Equation + Key points,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,3,U6_SUM_V2_Q03,U6-MG01,I can determine which representation gives the strongest evidence for a function family when features seem similar.,sum_family_table,Table + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,4,U6_SUM_V2_Q04,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_quad_vertex_from_standard,Equivalent equations + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,5,U6_SUM_V2_Q05,U6-MG02,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",sum_transform_equation_point,Equation + Key point,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,6,U6_SUM_V2_Q06,U6-MG03,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",sum_poly_composite_area,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,7,U6_SUM_V2_Q07,U6-MG04,"I can critique whether a polynomial expression supports a claimed vertex, intercept, axis of symmetry, or direction of opening.",sum_quad_structure_features,Equation + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V2,8,U6_SUM_V2_Q08,U6-MG01,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",sum_family_graph,Graph + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V3,1,U6_SUM_V3_Q01,U6-MG01,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",sum_family_graph,Graph + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V3,2,U6_SUM_V3_Q02,U6-MG03,I can extend polynomial operations to equivalent expressions written in different forms.,sum_poly_area_product,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V3,3,U6_SUM_V3_Q03,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_quad_vertex_from_standard,Equivalent equations + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V3,4,U6_SUM_V3_Q04,U6-MG02,I can apply transformation rules to key points and features across function families.,sum_transform_equation_point,Equation + Key point,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V3,5,U6_SUM_V3_Q05,U6-MG03,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",sum_poly_composite_area,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V3,6,U6_SUM_V3_Q06,U6-MG01,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",sum_family_table,Table + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
