System of inequalities solution,overlap
Feasible point,satisfies every constraint
Nonfeasible point,fails at least one constraint
Feasible region,intersection of half-planes
Two solid boundaries,boundary points may be included
Test a candidate,check all inequalities
At most total 12,x+y<=12
At least 4 of y,y>=4
Adding a constraint can,shrink feasible region
No overlap means,no feasible solution
Context constraints,simultaneous limits
Graph system,shade each then find overlap
Candidate table,checks each constraint
Point in only one region,not feasible
Boundary inclusion,depends on inequality symbol
Formulate system,translate every limit
Feasible choice,meets all requirements
Empty feasible region,constraints cannot all be met
