Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1,Zeros of y=(x+1)(x-3),"-1, 3","1, -3","1, 3","-1, -3",1
2,Zeros of y=(x+2)(x-4),"2, -4","2, 4","-2, -4","-2, 4",4
3,Zeros of y=(x+3)(x-5),"3, 5","-3, -5","-3, 5","3, -5",3
4,Zeros of y=(x+4)(x-6),"-4, -6","-4, 6","4, -6","4, 6",2
5,Zeros of y=(x+5)(x-7),"-5, 7","5, -7","5, 7","-5, -7",1
6,Zeros of y=(x+6)(x-8),"6, -8","6, 8","-6, -8","-6, 8",4
7,Zeros of y=(x+7)(x-9),"7, 9","-7, -9","-7, 9","7, -9",3
8,Zeros of y=(x+8)(x-10),"-8, -10","-8, 10","8, -10","8, 10",2
9,Zeros of y=(x+9)(x-11),"-9, 11","9, -11","9, 11","-9, -11",1
10,Zeros of y=(x+10)(x-12),"10, -12","10, 12","-10, -12","-10, 12",4
11,Factored form with zeros -1 and 4,(x+1)(x+4),(x-1)(x-4),(x+1)(x-4),(x-1)(x+4),3
12,Factored form with zeros -2 and 5,(x-2)(x-5),(x+2)(x-5),(x-2)(x+5),(x+2)(x+5),2
13,Factored form with zeros -3 and 6,(x+3)(x-6),(x-3)(x+6),(x+3)(x+6),(x-3)(x-6),1
14,Factored form with zeros -4 and 7,(x-4)(x+7),(x+4)(x+7),(x-4)(x-7),(x+4)(x-7),4
15,Factored form with zeros -5 and 8,(x+5)(x+8),(x-5)(x-8),(x+5)(x-8),(x-5)(x+8),3
16,Factored form with zeros -6 and 9,(x-6)(x-9),(x+6)(x-9),(x-6)(x+9),(x+6)(x+9),2
17,Factored form with zeros -7 and 10,(x+7)(x-10),(x-7)(x+10),(x+7)(x+10),(x-7)(x-10),1
18,Factored form with zeros -8 and 11,(x-8)(x+11),(x+8)(x+11),(x-8)(x-11),(x+8)(x-11),4
19,Factored form with zeros -9 and 12,(x+9)(x+12),(x-9)(x-12),(x+9)(x-12),(x-9)(x+12),3
20,Factored form with zeros -10 and 13,(x-10)(x-13),(x+10)(x-13),(x-10)(x+13),(x+10)(x+13),2
