Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Like terms,same variable part and exponents,Not enough information,None of these,A different family/effect,20,1
2,Add polynomials,combine like terms,Not enough information,None of these,A different family/effect,20,1
3,Subtract polynomials,distribute subtraction then combine,Not enough information,None of these,A different family/effect,20,1
4,Monomial times polynomial,distribute to every term,Not enough information,None of these,A different family/effect,20,1
5,(x+2)(x+3),x^2+5x+6,Not enough information,None of these,A different family/effect,20,1
6,(x-2)(x+2),x^2-4,Not enough information,None of these,A different family/effect,20,1
7,Area model,shows every partial product,Not enough information,None of these,A different family/effect,20,1
8,x term and x^2 term,not like terms,Not enough information,None of these,A different family/effect,20,1
9,2x(x+4),2x^2+8x,Not enough information,None of these,A different family/effect,20,1
10,(x+5)^2,x^2+10x+25,Not enough information,None of these,A different family/effect,20,1
11,Factored and expanded,equivalent forms,Not enough information,None of these,A different family/effect,20,1
12,Rectangle area,length times width,Not enough information,None of these,A different family/effect,20,1
13,Missing middle term,common multiplication error,Not enough information,None of these,A different family/effect,20,1
14,Negative subtraction,changes every sign in subtracted polynomial,Not enough information,None of these,A different family/effect,20,1
15,Standard polynomial form,descending powers,Not enough information,None of these,A different family/effect,20,1
16,Product of binomials,four partial products,Not enough information,None of these,A different family/effect,20,1
17,Value table,can check equivalence,Not enough information,None of these,A different family/effect,20,1
18,Structure first,align like terms or partial products,Not enough information,None of these,A different family/effect,20,1
19,Like terms,same variable part and exponents,Not enough information,None of these,A different family/effect,20,1
20,Add polynomials,combine like terms,Not enough information,None of these,A different family/effect,20,1
