Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,"In $P(t)=500(1.04)^t$, the initial value is...",500,1.04,4,504,1
2,"In $P(t)=500(1.04)^t$, the percent growth rate is...",1.04%,4%,40%,104%,2
3,"In $V(t)=900(0.8)^t$, the percent decrease per period is...",80%,8%,20%,0.8%,3
4,"In $C(h)=12+6h$, the fixed starting amount is...",6,18,72,12,4
5,"In $C(h)=12+6h$, the rate per hour is...",12,6,18,2,2
6,"If predicted=17 and observed=20, observed-predicted is...",-3,37,3,0,3
7,"If predicted=31 and observed=28, observed-predicted is...",3,59,0,-3,4
8,A positive residual means the model...,underpredicted,overpredicted,was exact,must be quadratic,1
9,A negative residual means the model...,underpredicted,was exact,overpredicted,must be linear,3
10,Constant first differences suggest a...,quadratic model,exponential model,absolute-value model only,linear model,4
11,Constant second differences suggest a...,quadratic model,linear model,exponential model,constant model,1
12,Constant ratios suggest an...,linear model,exponential model,quadratic model,piecewise model only,2
13,Use $C(h)=8+5h$. $C(4)=$...,20,32,13,28,4
14,Use $N(t)=40(1.5)^t$. $N(2)=$...,90,60,80,100,1
15,"For $h(t)=-2(t-3)^2+18$, the maximum height is...",3,18,-2,21,2
16,A reasonable model domain should be based on...,all real numbers automatically,the graph color,the data and situation constraints,the equation font,3
17,"If residuals grow systematically in one direction, you should...",reconsider the model,assume the model is exact,ignore later data,change only the axis labels,1
18,A model assumption should describe...,the student name,the file type,conditions the model relies on,the answer position,3
19,"For a 10% increase per period, the exponential factor is...",0.10,1.10,10,0.90,2
20,"For a 15% decrease per period, the exponential factor is...",1.15,0.15,15,0.85,4
