bank_id,destination,section,representation,figure,sha256,bytes
U8-S1-WTC-001,WTC,8.1,Table + Graph,figures/u8_s1_family_gallery.png,a1b51e9a2a795be73d3bcd7c3f7c942254a1978fe7c91036204cb163aa7e1841,30621
U8-S1-EX-06,Notes Example,8.1,Graph,figures/u8_s1_ex_06_family_gallery.png,4f408f2971ea0899a3050fa4d2f6792ce69eacf1ad840caefb1e3ceddae11119,29901
U8-S1-YTI-06,Notes YTI,8.1,Graph,figures/u8_s1_yti_06_family_gallery.png,c5cbdb658c97c5e618fa1d115b9f5111cfe74cccd2dd1717f734dc110a15e442,29450
U8-S1-P1-05,Practice Set 1,8.1,Graph,figures/u8_s1_p1_05_family_gallery.png,5325cb2e0ec41cf81c1a7f338dc7dfd6ca0c8567d20d4c173023b74aee53ccf7,28808
U8-S1-P1-15,Practice Set 1,8.1,Graph,figures/u8_s1_p1_15_family_gallery.png,1a78e3fc5cc72a6436aef6580438604ba4f25c0a2f62cefa9d4cb05f775fb0ae,30067
U8-S1-P2-05,Practice Set 2,8.1,Graph,figures/u8_s1_p2_05_family_gallery.png,f2291d0d69c8360c7804c792cea18c8a0ec04c97b27c93e8dcab69bce2447594,30719
U8-S1-P2-15,Practice Set 2,8.1,Graph,figures/u8_s1_p2_15_family_gallery.png,ecea7baa3dcb3eb23af4187586eed8587e1ea5fa091fd32310fbdf8313643bf3,30408
U8-S1-P3-05,Practice Set 3,8.1,Graph,figures/u8_s1_p3_05_family_gallery.png,febed10c9e12817d02e90c09d4234af03300856fa655f7e29fcb7f1e85ce2e35,29225
U8-S1-P3-15,Practice Set 3,8.1,Graph,figures/u8_s1_p3_15_family_gallery.png,e745cfaa95e909800ea58a16ab99125bd65eee3ad453e17f511d0508a3f5302a,30876
U8-S1-PX-05,Extra Practice,8.1,Graph,figures/u8_s1_px_05_family_gallery.png,8cd44f37656301ecce1661570e002466516ae179a7e24f1f02af958b96a19bb8,30167
U8-S1-PX-15,Extra Practice,8.1,Graph,figures/u8_s1_px_15_family_gallery.png,c9398979dff345afd0344a809d8d1fd27ee61a450e30251c3c49f238915fba1e,30496
U8-S1-CYU-05,CYU,8.1,Graph,figures/u8_s1_cyu_05_family_gallery.png,7ca195bbc6e96f41edb58790942ef0b82540fce0007cbd6b24feb6e232097adf,29955
U8-S1-WU1-01,Warm-Up 1,8.1,Diamond,figures/u8_s1_diamond.png,63e2a32491b9198d22181ddc2f1b0e5d428cf5e88ccbbf392168dad64d368abc,6344
U8-S2-WTC-001,WTC,8.2,Graph,figures/u8_s2_multi_transform.png,e7a6a1fa8a403ecc461c92ed45536f2e1db503209a1475929806afc656d294ef,27989
U8-S2-EX-06,Notes Example,8.2,Graph,figures/u8_s2_exp_pair.png,0235efd1dbe0641227774c8d9b500e6bbbe544d812dd4ca6e0221bb67d30abb8,21994
U8-S2-YTI-06,Notes YTI,8.2,Graph,figures/u8_s2_quad_pair.png,84efc92cfce8c79e0324be2647966cce6425e17cf5e6b10b5794c8a6abc76e6e,25733
U8-S2-P1-05,Practice Set 1,8.2,Graph,figures/u8_s2_abs_pair.png,102e71f26bf67b778668417178124d32066a92748b0cb3844ac4d2107d35009c,29562
U8-S2-P1-15,Practice Set 1,8.2,Graph,figures/u8_s2_p1_15_exp_pair.png,2413018d96ada8d5daf520122933936fb1b0bb08277f10223fcebc79b8557aed,22269
