Factor $x^2+10x+25$., $(x+5)^2$.
Factor $x^2+2x+1$., $(x+1)^2$.
Factor $100x^2-25$., $(10x-5)(10x+5)$.
Factor $100x^2-36$., $(10x-6)(10x+6)$.
Factor $49x^2-196$., $(7x-14)(7x+14)$.
Factor $16x^2-196$., $(4x-14)(4x+14)$.
Factor $x^2+18x+81$., $(x+9)^2$.
Factor $81x^2-196$., $(9x-14)(9x+14)$.
Classify the function family represented by the table and name the numerical pattern that supports your choice., Exponential; constant ratio 4 with starting output 7.
Classify the function family represented by the table and name the numerical pattern that supports your choice., Exponential; constant ratio 3 with starting output 12.
Classify the function family represented by the table and name the numerical pattern that supports your choice., Absolute Value; V-shaped symmetric distance pattern with minimum 8.
Classify the function family represented by the table and name the numerical pattern that supports your choice., Quadratic; constant second difference 2 with starting output 14.
Classify the function family represented by the table and name the numerical pattern that supports your choice., Linear; constant first difference 9.
Determine whether the table matches $y=10x-24$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation.
Determine whether the table matches $y=3x-9$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value -9.
Determine whether the table matches $y=3x-26$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value -26.
Determine whether the table matches $y=9x+21$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value 21.
Determine whether the table matches $y=11x-4$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value -4.
