Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s),Time Limit (sec)
1,"What is the slope through (0, 1) and (2, 5)?",1,2,-1,0,2,30
2,"What is the slope through (1, 6) and (4, 0)?",1,-1,0,-2,4,30
3,"What is the slope through (-2, 3) and (2, 3)?",0,1,-1,2,1,30
4,"What is the slope through (4, 1) and (4, 7)?",1,-1,undefined,0,3,30
5,A line rises 2 units for every 1 unit right. What is its slope?,-2,2,1,undefined,2,30
6,A line falls 3 units for every 1 unit right. What is its slope?,-3,3,1,undefined,1,30
7,A line is horizontal. What is its slope?,1,undefined,2,0,4,30
8,A line rises 1 unit for every 2 units right. What is its slope?,-0.5,1,0.5,undefined,3,30
9,"Find the slope through (2, 1) and (5, 10).",3,-3,1/3,9,1,30
10,"Find the slope through (-1, 4) and (3, -4).",2,-2,-1/2,8,2,30
11,"Find the slope through (2, -3) and (6, 5).",-2,1/2,8,2,4,30
12,A line drops 5 units for every 2 units right. What is its slope?,2.5,-2.5,-0.4,5,2,30
13,A line rises 3 units for every 4 units right. What is its slope?,-0.75,1.33,0.75,3,3,30
14,A taxi fare increases 12 dollars over 3 miles. What is the rate per mile?,4 dollars per mile,3 dollars per mile,9 dollars per mile,36 dollars per mile,1,30
15,A tank loses 18 liters in 6 minutes. What is its rate of change?,3 L/min,-12 L/min,-108 L/min,-3 L/min,4,30
16,"Points (1, 7) and (5, 7) lie on a line. What is the slope?",1,undefined,0,4,3,30
17,"Points (-2, 1) and (-2, 6) lie on a line. What is the slope?",0,undefined,5,-5,2,30
18,A line has a negative slope. Which motion matches it?,rises as x increases,stays horizontal,is vertical,falls as x increases,4,30
19,"If a line has slope 4, what vertical change goes with a run of 3?",12,7,1.33,-12,1,30
20,"If a line has slope -1/2, what vertical change goes with a run of 6?",-3,3,-12,-1/12,1,30
