Factor $6x+9$.	$3(2x+3)$
Factor $12x+18$.	$6(2x+3)$
Factor $18x+27$.	$9(2x+3)$
Factor $24x+36$.	$12(2x+3)$
Factor $30x+45$.	$15(2x+3)$
Factor $36x+54$.	$18(2x+3)$
Factor $8x^2+12x$.	$4x(2x+3)$
Factor $16x^2+24x$.	$8x(2x+3)$
Factor $24x^2+36x$.	$12x(2x+3)$
Factor $32x^2+48x$.	$16x(2x+3)$
Factor $40x^2+60x$.	$20x(2x+3)$
Factor $48x^2+72x$.	$24x(2x+3)$
Expand $2x(3x+2)$.	$6x^2+4x$
Expand $3x(3x+2)$.	$9x^2+6x$
Expand $4x(3x+2)$.	$12x^2+8x$
Expand $5x(3x+2)$.	$15x^2+10x$
Expand $6x(3x+2)$.	$18x^2+12x$
Expand $7x(3x+2)$.	$21x^2+14x$
