bank_id,destination,section,spiral_stage,exact_target,mastery_goal,evidence_job,representation,response_type,source_basis,summative_version
U6_S1_ETA_01,Exit Ticket A,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_ETA_02,Exit Ticket A,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_ETA_03,Exit Ticket A,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,,Short independent Intro evidence for the mapped current-section I-can.,Graph + Prose,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_ETA_04,Exit Ticket A,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,,Short independent Intro evidence for the mapped current-section I-can.,Equation + Prose,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_ETB_01,Exit Ticket B,6.1,Review,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,,Short independent Review evidence for the routed prior-unit skill.,Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.4,
U6_S1_ETB_02,Exit Ticket B,6.1,Review,I can formulate quadratic functions in factored form from zeros or intercepts.,,Short independent Review evidence for the routed prior-unit skill.,Graph features + Equation,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.4,
U6_S1_ETB_03,Exit Ticket B,6.1,Review,"I can extend connections among factors, zeros, intercepts, and graph behavior.",,Short independent Review evidence for the routed prior-unit skill.,Equation + Graph feature,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.4,
U6_S1_ETB_04,Exit Ticket B,6.1,Review,"I can extend connections among factors, zeros, intercepts, and graph behavior.",,Short independent Review evidence for the routed prior-unit skill.,Equation,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.4,
U6_S1_ETC_01,Exit Ticket C,6.1,Mastery,I can predict graph features from equivalent quadratic expressions.,U6-MG04,"Portfolio evidence slice for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.5,
U6_S1_ETC_02,Exit Ticket C,6.1,Mastery,"I can critique whether a polynomial expression supports a claimed vertex, intercept, axis of symmetry, or direction of opening.",U6-MG04,"Portfolio evidence slice for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Prose,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.5,
U6_S1_ETC_03,Exit Ticket C,6.1,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Portfolio evidence slice for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Feature,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.5,
U6_S1_ETC_04,Exit Ticket C,6.1,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Portfolio evidence slice for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.5,
U6_S2_ETA_01,Exit Ticket A,6.2,Intro,I can build perfect-square trinomials by adding the needed constant term.,,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_ETA_02,Exit Ticket A,6.2,Intro,I can use completing the square to solve quadratic equations and write equivalent vertex-form expressions.,,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_ETA_03,Exit Ticket A,6.2,Intro,I can predict how completing the square reveals the vertex and symmetry of a quadratic function.,,Short independent Intro evidence for the mapped current-section I-can.,Equation + Graph features,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_ETA_04,Exit Ticket A,6.2,Intro,I can use completing the square to solve quadratic equations and write equivalent vertex-form expressions.,,Short independent Intro evidence for the mapped current-section I-can.,Equation + Prose,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_ETB_01,Exit Ticket B,6.2,Review,I can construct equivalent quadratic forms to reveal different key features.,,Short independent Review evidence for the routed prior-unit skill.,Equation,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.5,
U6_S2_ETB_02,Exit Ticket B,6.2,Review,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Short independent Review evidence for the routed prior-unit skill.,Equation + Feature,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.5,
U6_S2_ETB_03,Exit Ticket B,6.2,Review,I can critique which quadratic form best supports a given question or context.,,Short independent Review evidence for the routed prior-unit skill.,Prose + Equation forms,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.5,
