bank_id,destination,section,spiral_stage,i_can,learning_target,question_family_id,variation,task_architecture,representation,response_type,mastery_goal,source_basis,summative_version
U6_S1_WTC_01,WTC,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,wtc_factor_zero_bridge,shared-graph,WTC-FRQ-PREVIEW-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_WTC_01,WTC,6.2,Intro,I can build perfect-square trinomials by adding the needed constant term.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,wtc_complete_square_area,area-model,WTC-FRQ-PREVIEW-01,Diagram + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_WTC_01,WTC,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,Students will solve quadratic equations using the quadratic formula and interpret solutions.,wtc_solution_count_graph,three-graphs,WTC-FRQ-PREVIEW-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_WTC_01,WTC,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,"Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",wtc_method_selection,method-table,WTC-FRQ-PREVIEW-01,Table + Equations,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_WTC_01,WTC,6.5,Intro,"I can extend quadratic models to predict maximums, minimums, intercepts, and meaningful solution values.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",wtc_projectile_features,context-graph,WTC-FRQ-PREVIEW-01,Graph + Context,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_EX_01,Notes Example,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,zero_product_direct,example-1,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_YTI_01,Notes YTI,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,zero_product_direct,yti-1,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_EX_02,Notes Example,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,construct_from_zeros,example-2,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_YTI_02,Notes YTI,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,construct_from_zeros,yti-2,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_EX_03,Notes Example,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,graph_intercepts_solutions,example-3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_YTI_03,Notes YTI,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,graph_intercepts_solutions,yti-3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_EX_04,Notes Example,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,context_solution_reasonableness,example-4,VERIFY-REASONABLENESS-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_YTI_04,Notes YTI,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,context_solution_reasonableness,yti-4,VERIFY-REASONABLENESS-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_EX_05,Notes Example,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,repeated_root_interpretation,example-5,FEATURE-EVALUATE-VS-SOLVE-01,Equation + Graph feature,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_YTI_05,Notes YTI,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,repeated_root_interpretation,yti-5,FEATURE-EVALUATE-VS-SOLVE-01,Equation + Graph feature,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_EX_06,Notes Example,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,table_zeros_to_factors,example-6,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_YTI_06,Notes YTI,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,table_zeros_to_factors,yti-6,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
