Classify $y=2x-5$.	linear — first-degree equation
Classify $y=x^2+3$.	quadratic — squared-variable equation
Classify $y=3(2)^x$.	exponential — variable in the exponent
Classify $y=|x+4|-1$.	absolute value — absolute-value bars
A table has constant first differences of 4. Which family?	linear — constant first differences
A table has constant second differences of 2. Which family?	quadratic — constant second differences
A table has a constant ratio of 3. Which family?	exponential — constant ratio of 3
A table is symmetric about one x-value and changes by equal amounts away from the center. Which family is suggested?	absolute value — symmetric distance pattern
Which family is represented by a straight graph with constant slope?	linear — constant slope
Which family has a smooth U-shaped graph with one turning point?	quadratic — U-shape with one turning point
Which family has an increasing curve whose rate of change grows?	exponential — accelerating multiplicative growth
Which family has a V-shaped graph with a sharp corner?	absolute value — V-shape with a corner
A quantity increases by 7 each hour. Which family is most natural?	linear — adds 7 each hour
A quantity doubles each hour. Which family is most natural?	exponential — doubles each hour
Which numerical pattern is strongest evidence for linear behavior?	constant first differences
Which numerical pattern is strongest evidence for exponential behavior?	constant ratios
A graph looks almost straight in a small window, but its table has ratio 2. Which family is better supported?	exponential — exact ratio 2 outweighs the window
A cropped graph shows one side of a curve, but the table has constant second differences. Which family is better supported?	quadratic — exact second differences outweigh the crop
