$y=3x+2$ has rate, 3
Ordered pair with x-coordinate 4 and y-coordinate 7, $(4;7)$
Representation made of input-output rows, table
Starting value in $y=2x+5$, 5
Horizontal coordinate in $(4;-2)$, 4
Vertical coordinate in $(-3;6)$, 6
Point on the y-axis has x-coordinate, 0
Movement with x fixed, vertical
Compute $-3+14$, 11
Evaluate $6x+9$ at $x=2$, 21
Simplify $4(x+3)$, $4x+12$
Factor $8x+16$, $2(4x+8)$
Solve $4x=-8$, $x=-2$
Solve $x+3=11$, $x=8$
Solve $2x+1\lt -5$, $x\lt -3$
Endpoint for $x\lt 5$, open
Shading direction for $x\lt -1$, left
Opposite operation of multiplying by 9, divide by 9
