For $P(t)=500(1.04)^t$, interpret 500.	Initial value 500.
For $P(t)=500(1.04)^t$, interpret 1.04.	A 4% increase per time unit.
For $V(t)=900(0.8)^t$, interpret 0.8.	20% decay per time unit; 80% remains.
For $C(h)=12+6h$, interpret 12.	The fixed starting amount is 12.
For $C(h)=12+6h$, interpret 6.	The amount increases by 6 per hour.
A linear model predicts 17 and the observed value is 20. Compute observed minus predicted.	3; the model underpredicts by 3.
A model predicts 31 and the observed value is 28. Compute observed minus predicted.	-3; the model overpredicts by 3.
A data set grows by about 10% each interval. Which family should be investigated first?	Exponential.
A data set has constant second differences. Which family should be investigated first?	Quadratic.
A data set has constant first differences. Which family should be investigated first?	Linear.
Why should a model include a reasonable domain?	Because the situation and data may not support using the model for every possible input.
A model fits early data but later residuals grow in one direction. What does that suggest?	The model may be systematically missing the pattern and should be reconsidered.
Use $C(h)=8+5h$ to predict $C(4)$.	28.
Use $N(t)=40(1.5)^t$ to predict $N(2)$.	90.
For $h(t)=-2(t-3)^2+18$, state the maximum.	18 at $t=3$.
What does a positive residual (observed minus predicted) mean?	The model underpredicted the observed value.
What does a negative residual (observed minus predicted) mean?	The model overpredicted the observed value.
Why are assumptions part of a model statement?	They clarify the conditions under which the model is intended to represent the situation.
