unit,target,version_family,sections,dok,question_type,source_bank_items,version_positions,figure_needed,visual_opportunity,modification_mode
4,T1,V1-4,4.1,1,function-family evidence,4-S1-DOK1.01 + 4-S1-DOK1.02 + 4-S1-DOK1.03,V1:Q1; V2:Q1; V3:Q1; V4:Q1,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T1,V5-6,4.1,1,function-family evidence,4-S1-DOK1.04 + 4-S1-DOK1.05 + 4-S1-DOK1.06,V5:Q2; V6:Q2,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T1,V7-8,4.1,1,function-family evidence,4-S1-DOK1.07 + 4-S1-DOK1.08 + 4-S1-DOK1.10,V7:Q5; V8:Q5,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T2,V1-4,4.2,1,translation description,4-S2-DOK1.01 + 4-S2-DOK1.02 + 4-S2-DOK1.03,V1:Q2; V2:Q2; V3:Q2; V4:Q2,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T2,V5-6,4.2,1,translation description,4-S2-DOK1.07 + 4-S2-DOK1.08,V5:Q7; V6:Q7,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T2,V7-8,4.2,1,translation description,4-S2-DOK1.09 + 4-S2-DOK1.10 + 4-S2-DOK1.12,V7:Q3; V8:Q3,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T3,V1-4,4.3,1,transformation vocabulary,4-S3-DOK1.01 + 4-S3-DOK1.03 + 4-S3-DOK1.04,V1:Q3; V2:Q3; V3:Q3; V4:Q3,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T3,V5-6,4.3,1,transformation vocabulary,4-S3-DOK1.07 + 4-S3-DOK1.08 + 4-S3-DOK1.09,V5:Q9; V6:Q9,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T3,V7-8,4.3,1,transformation vocabulary,4-S3-DOK1.10 + 4-S3-DOK1.11 + 4-S3-DOK1.12,V7:Q7; V8:Q7,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T4,V1-4,4.5,1,quadratic feature reading,4-S5-DOK1.01 + 4-S5-DOK1.03,V1:Q4; V2:Q4; V3:Q4; V4:Q4,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
