Zeros of $y=(x+1)(x-3)$.	$x=-1,3$
Zeros of $y=(x+2)(x-4)$.	$x=-2,4$
Zeros of $y=(x+3)(x-5)$.	$x=-3,5$
Zeros of $y=(x+4)(x-6)$.	$x=-4,6$
Zeros of $y=(x+5)(x-7)$.	$x=-5,7$
Zeros of $y=(x+6)(x-8)$.	$x=-6,8$
Write monic factors for zeros $-1$ and $4$.	$y=(x+1)(x-4)$
Write monic factors for zeros $-2$ and $5$.	$y=(x+2)(x-5)$
Write monic factors for zeros $-3$ and $6$.	$y=(x+3)(x-6)$
Write monic factors for zeros $-4$ and $7$.	$y=(x+4)(x-7)$
Write monic factors for zeros $-5$ and $8$.	$y=(x+5)(x-8)$
Write monic factors for zeros $-6$ and $9$.	$y=(x+6)(x-9)$
Solve $(x-1)(x+2)=0$.	$x=1,-2$
Solve $(x-2)(x+3)=0$.	$x=2,-3$
Solve $(x-3)(x+4)=0$.	$x=3,-4$
Solve $(x-4)(x+5)=0$.	$x=4,-5$
Solve $(x-5)(x+6)=0$.	$x=5,-6$
Solve $(x-6)(x+7)=0$.	$x=6,-7$
