From $y=x^2$ to $y=3x^2$.	vertical stretch by 3
From $y=x^2$ to $y=\frac12x^2$.	vertical compression by $\frac12$
From $y=x^2$ to $y=-x^2$.	reflection across x-axis
From $y=x^2$ to $y=-2x^2$.	reflection across x-axis and vertical stretch by 2
If $f(2)=4$ and $g(x)=2f(x)$, find $g(2)$.	8
If $f(-1)=1$ and $g(x)=-3f(x)$, find $g(-1)$.	-3
If $f(4)=8$ and $g(x)=\frac12 f(x)$, find $g(4)$.	4
If $f(0)=0$ and $g(x)=-2f(x)+1$, find $g(0)$.	1
What does multiplying all outputs by -1 do?	reflects across the x-axis
What does an output multiplier between 0 and 1 do?	vertical compression
What does an output multiplier greater than 1 do?	vertical stretch
For $g(x)=-\frac12f(x)$, name both effects.	x-axis reflection and vertical compression by $\frac12$
For $f(x)=|x|$, does $(2,-4)$ fit $g(x)=-2f(x)$?	yes — the point gives y=-4
For $f(x)=|x|$, does $(1,3)$ fit $g(x)=2f(x)$?	no — the expected y-value is 2
For $f(x)=x^2$, does $(2,2)$ fit $g(x)=\frac12f(x)$?	yes — the point gives y=2
For $f(x)=x^2$, does $(1,-3)$ fit $g(x)=-2f(x)$?	no — the expected y-value is -2
A transformed V opens downward and is twice as steep. Output multiplier?	-2
A transformed parabola is wider with the same vertex. Likely output multiplier?	a positive number between 0 and 1
