A model is $P(t)=18(0.5)^t$. Interpret 18 and 0.5; then predict $P(5)$., 18 is the initial value; 0.5 is the multiplicative factor; $P(5)=0.562$.
A model is $P(t)=20(2)^t$. Interpret 20 and 2; then predict $P(4)$., 20 is the initial value; 2 is the multiplicative factor; $P(4)=320$.
A model is $P(t)=12(2)^t$. Interpret 12 and 2; then predict $P(4)$., 12 is the initial value; 2 is the multiplicative factor; $P(4)=192$.
A model is $P(t)=22(0.8)^t$. Interpret 22 and 0.8; then predict $P(7)$., 22 is the initial value; 0.8 is the multiplicative factor; $P(7)=4.614$.
A model is $P(t)=17(0.75)^t$. Interpret 17 and 0.75; then predict $P(7)$., 17 is the initial value; 0.75 is the multiplicative factor; $P(7)=2.269$.
A model is $P(t)=24(0.6)^t$. Interpret 24 and 0.6; then predict $P(4)$., 24 is the initial value; 0.6 is the multiplicative factor; $P(4)=3.11$.
A model is $P(t)=15(1.5)^t$. Interpret 15 and 1.5; then predict $P(4)$., 15 is the initial value; 1.5 is the multiplicative factor; $P(4)=75.938$.
A model is $P(t)=8(0.6)^t$. Interpret 8 and 0.6; then predict $P(8)$., 8 is the initial value; 0.6 is the multiplicative factor; $P(8)=0.134$.
A height model is $H(t)=-4(t-9)^2+58$. State the maximum height and the time when it occurs. Then find $H(11)$., Maximum 58 at $t=9$; $H(11)=42$.
A height model is $H(t)=-3(t-10)^2+45$. State the maximum height and the time when it occurs. Then find $H(12)$., Maximum 45 at $t=10$; $H(12)=33$.
A height model is $H(t)=-4(t-6)^2+55$. State the maximum height and the time when it occurs. Then find $H(8)$., Maximum 55 at $t=6$; $H(8)=39$.
A height model is $H(t)=-5(t-7)^2+16$. State the maximum height and the time when it occurs. Then find $H(9)$., Maximum 16 at $t=7$; $H(9)=-4$.
A height model is $H(t)=-4(t-8)^2+27$. State the maximum height and the time when it occurs. Then find $H(10)$., Maximum 27 at $t=8$; $H(10)=11$.
Factor $x^2-5x-14$ completely., $(x+2)(x-7)$.
Factor $x^2+x-2$ completely., $(x-1)(x+2)$.
Factor $x^2+10x+21$ completely., $(x+7)(x+3)$.
Factor $x^2+4x-21$ completely., $(x+7)(x-3)$.
Factor $x^2-x-6$ completely., $(x-3)(x+2)$.
