Equation $y=4x-7$. Family, linear
Equation $y=x^2+3$. Family, quadratic
Equation $y=5(2)^x$. Family, exponential
Equation $y=|x-1|$. Family, absolute value
Constant first differences indicate which family, linear pattern
Constant second differences indicate which family, quadratic pattern
Constant nonzero ratio indicates which family, exponential pattern
Output rises 12 when input rises 3. Rate, 4
Points have change in y 15 and change in x 5. Rate, 3
Straight line constant rate -2. Rate, $-2$
Output rises 7 for each input step. Rate, 7
Compute $-8+13$, 5
Compute $(-6)(4)$, -24
Compute $\frac14+\frac24$, $\frac34$
Compute $5.6-2.1$, 3.5
Compute $-3+2(6)$, 9
Temperature -7 rises 10 degrees, 3 degrees
Compute $-4-9$, -13
