Initial value in y=14(1.2)^x	14
Growth factor in y=14(1.2)^x	1.2
Decay factor for 18% decrease	0.82
Growth factor for 7% increase	1.07
Model: starts 30, doubles each step	y=30(2)^x
Model: starts 80, halves each step	y=80(0.5)^x
At x=0, y=a(b)^x equals	a
Table 6, 9, 13.5, 20.25: factor	1.5
Table 40, 30, 22.5, 16.875: factor	0.75
Model for 500 decreasing 10% per period	500(0.9)^t
Model for 200 increasing 25% per period	200(1.25)^t
Predict 3(2)^4	48
Predict 10(0.5)^3	1.25
If f(0)=12 in f(x)=ab^x, a=	12
If b is between 0 and 1, the model shows	decay
If b is greater than 1, the model shows	growth
Two steps multiply by 9/4; positive one-step factor	3/2
Equation from initial 5 and factor 3	y=5(3)^x
