q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
0B-S1-DOK1.01,summative,0B,0B.1,—,target1 V1-4,number-swap,
0B-S1-DOK1.05,summative,0B,0B.1,—,target1 V5-6,context-swap,
0B-S1-DOK1.15,summative,0B,0B.1,—,target1 V7-8,number-swap,
0B-S1-DOK2.07,summative,0B,0B.1,—,target2 V1-4,number-swap,
0B-S1-DOK2.12,summative,0B,0B.1,—,target2 V5-6,number-swap,
0B-S1-DOK2.04,summative,0B,0B.1,—,target2 V7-8,context-swap,
0B-S2-DOK1.01,summative,0B,0B.2,—,target3 V1-4,number-swap,
0B-S2-DOK1.03,summative,0B,0B.2,—,target3 V5-6,number-swap,
0B-S2-DOK1.11,summative,0B,0B.2,—,target3 V7-8,number-swap,
0B-S2-DOK2.02,summative,0B,0B.2,—,target4 V1-4,number-swap,
0B-S2-DOK2.03,summative,0B,0B.2,—,target4 V5-6,number-swap,
0B-S2-DOK2.07,summative,0B,0B.2,—,target4 V7-8,number-swap,
0B-S3-DOK1.01,summative,0B,0B.3,—,target5 V1-4,number-swap,
0B-S3-DOK1.16,summative,0B,0B.3,—,target5 V5-6,number-swap,
0B-S3-DOK1.13,summative,0B,0B.3,—,target5 V7-8,number-swap,
0B-S3-DOK2.04,summative,0B,0B.3,—,target6 V1-4,number-swap,
0B-S3-DOK2.12,summative,0B,0B.3,—,target6 V5-6,number-swap,
0B-S3-DOK2.03,summative,0B,0B.3,—,target6 V7-8,number-swap,
0B-S4-DOK2.03,summative,0B,0B.4,—,target7 V1-4,number-swap,
0B-S4-DOK2.02,summative,0B,0B.4,—,target7 V5-6,number-swap,
0B-S4-DOK2.10,summative,0B,0B.4,—,target7 V7-8,number-swap,
0B-S4-DOK3.02,summative,0B,0B.4,—,target8 V1-4,number-swap,
0B-S4-DOK3.03,summative,0B,0B.4,—,target8 V5-6,number-swap,
0B-S4-DOK3.01,summative,0B,0B.4,—,target8 V7-8,reword,
0B-S5-DOK1.01,summative,0B,0B.5,—,target9 V1-4,number-swap,
0B-S5-DOK1.03,summative,0B,0B.5,—,target9 V5-6,number-swap,
0B-S5-DOK1.08,summative,0B,0B.5,—,target9 V7-8,number-swap,
0B-S5-DOK3.03,summative,0B,0B.5,—,target10 V1-4,number-swap,
0B-S5-DOK3.01,summative,0B,0B.5,—,target10 V5-6,reword,
0B-S5-DOK3.04,summative,0B,0B.5,—,target10 V7-8,reword,
