summative_version,bank_id,mastery_goal,exact_target,question_family_id,variation,representation,response_type,estimated_time_sec,source_basis
V1,U2-SSUM-SECURESUMMATIV-01,U2-MG01,,mg01_read,V1-1,Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit GRAPH-INFER-BEHAVIOR-01
V1,U2-SSUM-SECURESUMMATIV-02,U2-MG03,,mg03_rate,V1-2,Table + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V1,U2-SSUM-SECURESUMMATIV-03,U2-MG02,,mg02_rule,V1-3,Table -> Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V1,U2-SSUM-SECURESUMMATIV-04,U2-MG04,,mg04_compare,V1-4,Equation + Table,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit MODEL-COMPARE-TWO-LINEAR-01
V1,U2-SSUM-SECURESUMMATIV-05,U2-MG01,,mg01_create,V1-5,Equation -> Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V1,U2-SSUM-SECURESUMMATIV-06,U2-MG03,,mg03_model,V1-6,Context + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-TRANSLATE-VERBAL-SYMBOLIC-01
V1,U2-SSUM-SECURESUMMATIV-07,U2-MG02,,mg02_pattern,V1-7,Context -> Table + Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-MULTIPLE-SIMULTANEOUS-01
V1,U2-SSUM-SECURESUMMATIV-08,U2-MG04,,mg04_critique,V1-8,Graph / Scale,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit ERROR-CRITIQUE-CLAIM-01
V2,U2-SSUM-SECURESUMMATIV-09,U2-MG03,,mg03_model,V2-1,Context + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-TRANSLATE-VERBAL-SYMBOLIC-01
V2,U2-SSUM-SECURESUMMATIV-10,U2-MG01,,mg01_create,V2-2,Equation -> Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V2,U2-SSUM-SECURESUMMATIV-11,U2-MG04,,mg04_compare,V2-3,Equation + Table,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit MODEL-COMPARE-TWO-LINEAR-01
V2,U2-SSUM-SECURESUMMATIV-12,U2-MG02,,mg02_rule,V2-4,Table -> Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V2,U2-SSUM-SECURESUMMATIV-13,U2-MG03,,mg03_rate,V2-5,Table + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V2,U2-SSUM-SECURESUMMATIV-14,U2-MG04,,mg04_critique,V2-6,Graph / Scale,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit ERROR-CRITIQUE-CLAIM-01
V2,U2-SSUM-SECURESUMMATIV-15,U2-MG01,,mg01_read,V2-7,Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit GRAPH-INFER-BEHAVIOR-01
V2,U2-SSUM-SECURESUMMATIV-16,U2-MG02,,mg02_pattern,V2-8,Context -> Table + Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-MULTIPLE-SIMULTANEOUS-01
V3,U2-SSUM-SECURESUMMATIV-17,U2-MG02,,mg02_pattern,V3-1,Context -> Table + Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-MULTIPLE-SIMULTANEOUS-01
V3,U2-SSUM-SECURESUMMATIV-18,U2-MG04,,mg04_compare,V3-2,Equation + Table,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit MODEL-COMPARE-TWO-LINEAR-01
V3,U2-SSUM-SECURESUMMATIV-19,U2-MG01,,mg01_read,V3-3,Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit GRAPH-INFER-BEHAVIOR-01
V3,U2-SSUM-SECURESUMMATIV-20,U2-MG03,,mg03_model,V3-4,Context + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-TRANSLATE-VERBAL-SYMBOLIC-01
V3,U2-SSUM-SECURESUMMATIV-21,U2-MG02,,mg02_rule,V3-5,Table -> Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V3,U2-SSUM-SECURESUMMATIV-22,U2-MG01,,mg01_create,V3-6,Equation -> Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V3,U2-SSUM-SECURESUMMATIV-23,U2-MG04,,mg04_critique,V3-7,Graph / Scale,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit ERROR-CRITIQUE-CLAIM-01
V3,U2-SSUM-SECURESUMMATIV-24,U2-MG03,,mg03_rate,V3-8,Table + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V4,U2-SSUM-SECURESUMMATIV-25,U2-MG04,,mg04_critique,V4-1,Graph / Scale,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit ERROR-CRITIQUE-CLAIM-01
V4,U2-SSUM-SECURESUMMATIV-26,U2-MG02,,mg02_rule,V4-2,Table -> Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V4,U2-SSUM-SECURESUMMATIV-27,U2-MG03,,mg03_rate,V4-3,Table + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V4,U2-SSUM-SECURESUMMATIV-28,U2-MG01,,mg01_create,V4-4,Equation -> Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-GRAPH-TABLE-EQUATION-01
V4,U2-SSUM-SECURESUMMATIV-29,U2-MG04,,mg04_compare,V4-5,Equation + Table,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit MODEL-COMPARE-TWO-LINEAR-01
V4,U2-SSUM-SECURESUMMATIV-30,U2-MG02,,mg02_pattern,V4-6,Context -> Table + Rule,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-MULTIPLE-SIMULTANEOUS-01
V4,U2-SSUM-SECURESUMMATIV-31,U2-MG03,,mg03_model,V4-7,Context + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-TRANSLATE-VERBAL-SYMBOLIC-01
V4,U2-SSUM-SECURESUMMATIV-32,U2-MG01,,mg01_read,V4-8,Graph,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit GRAPH-INFER-BEHAVIOR-01
V5,U2-SSUM-SECURESUMMATIV-33,U2-MG01,,mg01_route,V5-1,Graph / Ordered Pairs,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit PROC-MULTISTEP-CHAIN-01
V5,U2-SSUM-SECURESUMMATIV-34,U2-MG02,,mg02_verbal,V5-2,Context -> Rule + Pairs,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-MULTIPLE-SIMULTANEOUS-01
V5,U2-SSUM-SECURESUMMATIV-35,U2-MG03,,mg03_classify,V5-3,Table Comparison,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit FEATURE-IDENTIFY-FROM-REPRESENTATION-01
V5,U2-SSUM-SECURESUMMATIV-36,U2-MG04,,mg04_decision,V5-4,Context + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit MODEL-COMPARE-TWO-LINEAR-01
V5,U2-SSUM-SECURESUMMATIV-37,U2-MG01,,mg01_graph_check,V5-5,Equation / Graph Reasoning,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit VERIFY-REASONABLENESS-01
V5,U2-SSUM-SECURESUMMATIV-38,U2-MG03,,mg03_context,V5-6,Context + Equation + Table,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit REPTRANS-MULTIPLE-SIMULTANEOUS-01
V5,U2-SSUM-SECURESUMMATIV-39,U2-MG02,,mg02_reverse,V5-7,Ordered Pairs + Equation,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit INVERSE-GIVEN-OUTPUT-FIND-INPUT-01
V5,U2-SSUM-SECURESUMMATIV-40,U2-MG04,,mg04_data_claim,V5-8,Equation / Comparison,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit ERROR-CRITIQUE-CLAIM-01
V6,U2-SSUM-SECURESUMMATIV-41,U2-MG04,,mg04_decision,V6-1,Context + Equations,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit MODEL-COMPARE-TWO-LINEAR-01
V6,U2-SSUM-SECURESUMMATIV-42,U2-MG01,,mg01_route,V6-2,Graph / Ordered Pairs,constructed response,300,Current Unit Assessment Plan + Algebra 1 Framework section enrichment + Toolkit PROC-MULTISTEP-CHAIN-01
