version,form_group,displayed_item_number,bank_id,blueprint_slot_id,question_family_id,mastery_goal_id,evidence_point_id,learning_target,i_can,practice_standard,item_type,representation,task_architecture,natural_dok,expected_evidence,scoring_reference,calculator_rule,security_level,notes
V1,test_day,1,U1-SUM-V1-Q01,U1-SUM-SLOT01,U1-SUM-TD-FAM01,U1-MG01,U1-EP-SUM-V1-S01,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",Compute with signed rational quantities and interpret the sign/magnitude.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,constructed_response,signed decimals | context,signed rational context -> compute -> interpret sign,2,Compute with signed rational quantities and interpret the sign/magnitude.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,2,U1-SUM-V1-Q02,U1-SUM-SLOT04,U1-SUM-TD-FAM04,U1-MG02,U1-EP-SUM-V1-S04,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",Rewrite an expression into a correct equivalent form using properties.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,constructed_response,symbolic expression,distribute -> combine like terms,2,Rewrite an expression into a correct equivalent form using properties.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,3,U1-SUM-V1-Q03,U1-SUM-SLOT07,U1-SUM-TD-FAM07,U1-MG03,U1-EP-SUM-V1-S07,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,Solve a one-variable equation and verify the solution.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,constructed_response,one-variable equation,structured equation -> equivalent transformations -> verify,2,Solve a one-variable equation and verify the solution.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,4,U1-SUM-V1-Q04,U1-SUM-SLOT02,U1-SUM-TD-FAM02,U1-MG01,U1-EP-SUM-V1-S02,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",Evaluate an algebraic expression accurately after substitution.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,multiple_choice,algebraic expression,substitute into quadratic expression -> operation hierarchy,2,Evaluate an algebraic expression accurately after substitution.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,5,U1-SUM-V1-Q05,U1-SUM-SLOT08,U1-SUM-TD-FAM08,U1-MG04,U1-EP-SUM-V1-S08,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",Connect a one-variable inequality to its solution-set boundary and direction.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,constructed_response,inequality | number-line description,solve inequality -> describe number-line solution,2,Connect a one-variable inequality to its solution-set boundary and direction.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,6,U1-SUM-V1-Q06,U1-SUM-SLOT05,U1-SUM-TD-FAM05,U1-MG02,U1-EP-SUM-V1-S05,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",Distinguish equivalent from nonequivalent rewrites.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,multiple_choice,equivalent expressions,recognize distributive-property equivalent form,2,Distinguish equivalent from nonequivalent rewrites.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,7,U1-SUM-V1-Q07,U1-SUM-SLOT09,U1-SUM-TD-FAM09,U1-MG03,U1-EP-SUM-V1-S09,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,"Construct, solve, and interpret a contextual equation.",Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,constructed_response,context | equation,context -> define variable -> equation -> solve -> interpret,2,"Construct, solve, and interpret a contextual equation.",Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,8,U1-SUM-V1-Q08,U1-SUM-SLOT03,U1-SUM-TD-FAM03,U1-MG01,U1-EP-SUM-V1-S03,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",Compute with rational numbers and make a defensible reasonableness check.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,constructed_response,fraction | decimal,fraction-decimal computation -> benchmark reasonableness,2,Compute with rational numbers and make a defensible reasonableness check.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,9,U1-SUM-V1-Q09,U1-SUM-SLOT11,U1-SUM-TD-FAM11,U1-MG03,U1-EP-SUM-V1-S11,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,Verify whether a proposed value satisfies an equation.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,multiple_choice,solution check,test candidate equation solutions,2,Verify whether a proposed value satisfies an equation.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
V1,test_day,10,U1-SUM-V1-Q10,U1-SUM-SLOT06,U1-SUM-TD-FAM06,U1-MG02,U1-EP-SUM-V1-S06,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",Critique an algebraic rewrite and explain the property/sign issue.,Reason quantitatively; use structure and properties; check solutions and interpret constraints in context,constructed_response,error analysis | symbolic expression,critique missing distribution -> correct rewrite,3,Critique an algebraic rewrite and explain the property/sign issue.,Unit 1 Assessment Plan — secure Meeting evidence,local course policy,secure,V1–V4 controlled family
