bank_id,destination,section,label,exact_target,mastery_goal,spiral_stage,question_family_id,variation,task_architecture,representation,response_type,security,summative_version
u5_51_001,WTC,5.1,WTC,Students will identify common factors and use structure to rewrite polynomial expressions.,,Intro,WTC-STRUCTURE-GCF,shared-expression,COHERENT-MULTIPART-SHARED-STIMULUS-01,Equation,constructed/open response,instructional,
u5_52_001,WTC,5.2,WTC,"Students will factor quadratic trinomials using patterns, products, sums, and structure.",,Intro,WTC-PRODUCT-SUM-AREA,rectangle,REPTRANS-AREA-EQUATION-01,Area model,constructed/open response,instructional,
u5_53_001,WTC,5.3,WTC,Students will recognize and factor special polynomial patterns.,,Intro,WTC-PERFECT-SQUARE-AREA,square,REPTRANS-AREA-EQUATION-01,Area model,constructed/open response,instructional,
u5_54_001,WTC,5.4,WTC,"Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",,Intro,WTC-GRAPH-FACTORS-ZEROS,graph-factors,REPTRANS-GRAPH-EQUATION-01,Graph,constructed/open response,instructional,
u5_55_001,WTC,5.5,WTC,"Students will compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",,Intro,WTC-COMPARE-FORMS,three-forms-one-graph,COMPARE-MODEL-SELECTION-01,Graph + Equation,constructed/open response,instructional,
u5_51_002,Notes Example,5.1,Notes Example 1,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,example-1,direct-procedure,Equation,constructed/open response,instructional,
u5_51_003,Notes YTI,5.1,Notes YTI 1,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,yti-1,direct-procedure,Equation,constructed/open response,instructional,
u5_51_004,Notes Example,5.1,Notes Example 2,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,example-2,direct-procedure,Equation,constructed/open response,instructional,
u5_51_005,Notes YTI,5.1,Notes YTI 2,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,yti-2,direct-procedure,Equation,constructed/open response,instructional,
u5_51_006,Notes Example,5.1,Notes Example 3,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-STRUCTURE-3TERM,example-3,direct-procedure,Equation,constructed/open response,instructional,
u5_51_007,Notes YTI,5.1,Notes YTI 3,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-STRUCTURE-3TERM,yti-3,direct-procedure,Equation,constructed/open response,instructional,
