Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,For y=4x-9 output when x=3?,12,3,-3,21,20,2
2,Input 5 and output -2 make which pair?,"(-2,5)","(5,2)","(-5,2)","(5,-2)",20,4
3,One input with two outputs means?,not a function,always linear,a function,no outputs,20,1
4,Can a function have repeated outputs?,No,Only once,Yes,Only at x=0,20,3
5,Rule double input then add 6?,y=6x+2,y=2x+6,y=2(x+6),y=x+8,20,2
6,For y=-5x+4 output at x=-2?,14,-14,6,-6,20,1
7,"Which is the input in (8,3)?",3,11,5,8,20,4
8,Which relation is not a function?,"(1,2),(2,2)","(0,4),(3,4)","(1,2),(1,5)","(-1,2),(2,5)",20,3
9,Repeated output values in a function are?,allowed,never allowed,only allowed once,always an error,20,1
10,What must repeat to violate the function rule?,output only,slope,y-intercept,input with different outputs,20,4
11,A mapping input 3 points to 7 and 9. Function?,Yes,No,Only if 7=9,Only if 3 repeats,20,2
12,"Which pair can be added without breaking {(1,4),(2,6)}?","(1,8)","(2,9)","(3,4)","(1,6)",20,3
13,Function test focuses on each?,output,equation sign,table row count,input,20,4
14,Evaluate 8x+1 at x=-3,-23,-25,23,-7,20,1
15,Evaluate 24-2(5)+3²,13,31,23,65,20,3
16,What is (-6)²?,-36,36,12,-12,20,2
17,What is -6²?,-36,36,-12,12,20,1
18,If a result should be near 50 which is least reasonable?,48,51,55,503,20,4
19,Evaluate 2a-b for a=-4 b=7,1,-15,15,-1,20,2
20,Perimeter P=2l+2w for l=7 w=3?,10,21,20,42,20,3
