Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,For y=2x+1 what is y when x=-2?,-4,-3,-1,-5,20,2
2,For y=2x+1 what is y when x=-1?,0,-3,-2,-1,20,4
3,For y=2x+1 what is y when x=0?,1,-1,0,2,20,1
4,For y=2x+1 what is y when x=1?,1,4,3,2,20,3
5,For y=2x+1 what is y when x=2?,5,4,6,3,20,1
6,Which equation has rate 3 and y-intercept -2?,y=3x+2,y=3x-2,y=-2x+3,y=x-2,20,2
7,Which point lies on y=2x+1?,"(0,0)","(1,4)","(2,4)","(2,5)",20,4
8,A table increases by 4 in y for each +1 in x. What is the rate?,0,-4,4,1,20,3
9,If y=-x+5 what is the y-intercept?,1,5,0,-1,20,2
10,Which representation pair can describe the same relationship?,A table and equation with the same ordered pairs,Any two straight-looking graphs,Any context and any equation,Any two tables with four rows,20,1
11,For y=3x-1 what is y when x=0?,0,1,-2,-1,20,4
12,For y=3x-1 what is y when x=1?,2,4,3,0,20,1
13,For y=3x-1 what is y when x=2?,1,7,5,6,20,3
14,For y=3x-1 what is y when x=3?,10,8,2,9,20,2
15,For y=3x-1 what is y when x=4?,13,12,3,11,20,4
16,For y=-2x+4 what is y when x=0?,2,0,4,-4,20,3
17,For y=-2x+4 what is y when x=1?,2,1,4,0,20,1
18,For y=-2x+4 what is y when x=2?,4,0,2,-2,20,2
19,For y=-2x+4 what is y when x=3?,1,-4,2,-2,20,4
20,For y=-2x+4 what is y when x=4?,-4,0,4,-2,20,1
