Factor $x^2-4$.	$(x-2)(x+2)$
Factor $x^2-9$.	$(x-3)(x+3)$
Factor $x^2-16$.	$(x-4)(x+4)$
Factor $x^2-25$.	$(x-5)(x+5)$
Factor $x^2-36$.	$(x-6)(x+6)$
Factor $x^2-49$.	$(x-7)(x+7)$
Factor $x^2+4x+4$.	$(x+2)^2$
Factor $x^2+6x+9$.	$(x+3)^2$
Factor $x^2+8x+16$.	$(x+4)^2$
Factor $x^2+10x+25$.	$(x+5)^2$
Factor $x^2+12x+36$.	$(x+6)^2$
Factor $x^2+14x+49$.	$(x+7)^2$
Factor $x^2-4x+4$.	$(x-2)^2$
Factor $x^2-6x+9$.	$(x-3)^2$
Factor $x^2-8x+16$.	$(x-4)^2$
Factor $x^2-10x+25$.	$(x-5)^2$
Factor $x^2-12x+36$.	$(x-6)^2$
Factor $x^2-14x+49$.	$(x-7)^2$
