bank_id,destination,section,stage,exact_target,mastery_goal,evidence_job,response_type,representation,estimated_time_sec
U1-S11-ETA-001,Exit Ticket A,1.1,Intro,"I can construct a table, graph, equation, or context from another representation of the same relationship.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S11-ETA-002,Exit Ticket A,1.1,Intro,"I can use features in one representation to work with a related table, graph, equation, or context.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S11-ETA-003,Exit Ticket A,1.1,Intro,"I can determine whether two representations belong to the same relationship using evidence from values, rates, or patterns.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S11-ETA-004,Exit Ticket A,1.1,Intro,"I can use features in one representation to work with a related table, graph, equation, or context.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S11-ETB-001,Exit Ticket B,1.1,Review,"Interpret and create graphs on the coordinate plane while connecting points, axes, intercepts, and graphical information to mathematical situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S11-ETB-002,Exit Ticket B,1.1,Review,"Interpret and create graphs on the coordinate plane while connecting points, axes, intercepts, and graphical information to mathematical situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S11-ETB-003,Exit Ticket B,1.1,Review,"Interpret and create graphs on the coordinate plane while connecting points, axes, intercepts, and graphical information to mathematical situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S11-ETB-004,Exit Ticket B,1.1,Review,"Interpret and create graphs on the coordinate plane while connecting points, axes, intercepts, and graphical information to mathematical situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S11-ETC-001,Exit Ticket C,1.1,Mastery,"Solve inequalities, represent solution sets graphically, and interpret solutions in context.",U1-MG04,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S11-ETC-002,Exit Ticket C,1.1,Mastery,"Solve inequalities, represent solution sets graphically, and interpret solutions in context.",U1-MG04,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S11-ETC-003,Exit Ticket C,1.1,Mastery,"Solve inequalities, represent solution sets graphically, and interpret solutions in context.",U1-MG04,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S11-ETC-004,Exit Ticket C,1.1,Mastery,"Solve inequalities, represent solution sets graphically, and interpret solutions in context.",U1-MG04,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
