First modeling step,define variables
A system models,two simultaneous constraints
Ticket total equation,counts add to total
Revenue equation,prices times counts
Break-even means,equal outputs
Interpret ordered pair,use both units
Check modeled solution,test both constraints
Negative count solution,usually unreasonable
Two equations should represent,different conditions
Model pathway,define write solve interpret
Context conclusion includes,units
System intersection,simultaneous context solution
Total 60 adult/student,a+s=60
Adult 8 student 5 revenue,8a+5s=R
Reasonableness check,use context restrictions
Prediction before solving,meaning of coordinates
Independent constraints,different information
Final answer,contextual statement
