Factor $x^2+21x+108$ completely., $(x+9)(x+12)$.
Factor $x^2+23x+132$ completely., $(x+11)(x+12)$.
Factor $x^2+9x-10$ completely., $(x-1)(x+10)$.
Factor $x^2+21x+110$ completely., $(x+11)(x+10)$.
Factor $x^2+21x+110$ completely., $(x+10)(x+11)$.
Factor $x^2+14x+40$ completely., $(x+10)(x+4)$.
Factor $x^2-11x-26$ completely., $(x+2)(x-13)$.
Factor $x^2+24x+143$ completely., $(x+11)(x+13)$.
The quadratic $y=x^2-2x-143$ has zeros $x=-11$ and $x=13$. Explain how those zeros connect to a factored form and the graph., A matching factored form is $y=(x+11)(x-13)$; the graph crosses or touches the x-axis at $(-11;0)$ and $(13;0)$.
The quadratic $y=x^2-8x-65$ has zeros $x=-5$ and $x=13$. Explain how those zeros connect to a factored form and the graph., A matching factored form is $y=(x+5)(x-13)$; the graph crosses or touches the x-axis at $(-5;0)$ and $(13;0)$.
The quadratic $y=2x^2-20x-150$ has zeros $x=-5$ and $x=15$. Explain how those zeros connect to a factored form and the graph., A matching factored form is $y=2(x+5)(x-15)$; the graph crosses or touches the x-axis at $(-5;0)$ and $(15;0)$.
The quadratic $y=-x^2+8x+84$ has zeros $x=-6$ and $x=14$. Explain how those zeros connect to a factored form and the graph., A matching factored form is $y=-(x+6)(x-14)$; the graph crosses or touches the x-axis at $(-6;0)$ and $(14;0)$.
The quadratic $y=2x^2-338$ has zeros $x=-13$ and $x=13$. Explain how those zeros connect to a factored form and the graph., A matching factored form is $y=2(x+13)(x-13)$; the graph crosses or touches the x-axis at $(-13;0)$ and $(13;0)$.
Solve the system $y=6x+54$ and $y=-7x-50$., $(-8;6)$.
Solve the system $y=4x+34$ and $y=-4x-62$., $(-12;-14)$.
Solve the system $y=3x+23$ and $y=-7x-27$., $(-5;8)$.
Solve the system $y=2x+8$ and $y=-2x-8$., $(-4;0)$.
Solve the system $y=3x+13$ and $y=-4x-15$., $(-4;1)$.
