Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1,Factor x^2 +5x +6,(x+2)(x+3),(x+2)(x-3),(x+3)(x-2),(x+3)(x+3),1
2,Factor x^2 +7x +12,(x+3)(x-4),(x+4)(x-3),(x+4)(x+4),(x+3)(x+4),4
3,Factor x^2 +7x +10,(x+5)(x-2),(x+3)(x+5),(x+2)(x+5),(x+2)(x-5),3
4,Factor x^2 +9x +20,(x+5)(x+5),(x+4)(x+5),(x+4)(x-5),(x+5)(x-4),2
5,Factor x^2 +10x +21,(x+3)(x+7),(x+3)(x-7),(x+7)(x-3),(x+4)(x+7),1
6,Factor x^2 +11x +30,(x+5)(x-6),(x+6)(x-5),(x+6)(x+6),(x+5)(x+6),4
7,Factor x^2 +9x +8,(x+8)(x-1),(x+2)(x+8),(x+1)(x+8),(x+1)(x-8),3
8,Factor x^2 +11x +18,(x+3)(x+9),(x+2)(x+9),(x+2)(x-9),(x+9)(x-2),2
9,Factor x^2 +11x +28,(x+4)(x+7),(x+4)(x-7),(x+7)(x-4),(x+5)(x+7),1
10,Factor x^2 +13x +40,(x+5)(x-8),(x+8)(x-5),(x+6)(x+8),(x+5)(x+8),4
11,Factor x^2 -x -6,(x-3)(x-2),(x+3)(x-3),(x+2)(x-3),(x+2)(x+3),3
12,Factor x^2 -x -12,(x+4)(x-4),(x+3)(x-4),(x+3)(x+4),(x-4)(x-3),2
13,Factor x^2 -x -20,(x+4)(x-5),(x+4)(x+5),(x-5)(x-4),(x+5)(x-5),1
14,Factor x^2 +3x -10,(x+5)(x+2),(x-2)(x-5),(x+6)(x-2),(x+5)(x-2),4
15,Factor x^2 +5x -6,(x-1)(x-6),(x+7)(x-1),(x+6)(x-1),(x+6)(x+1),3
16,Factor x^2 +4x -21,(x+8)(x-3),(x+7)(x-3),(x+7)(x+3),(x-3)(x-7),2
17,Factor x^2 +6x -16,(x+8)(x-2),(x+8)(x+2),(x-2)(x-8),(x+9)(x-2),1
18,Factor x^2 -3x -18,(x+3)(x+6),(x-6)(x-3),(x+4)(x-6),(x+3)(x-6),4
19,Factor x^2 -3x -28,(x-7)(x-4),(x+5)(x-7),(x+4)(x-7),(x+4)(x+7),3
20,Factor x^2 -3x -40,(x+6)(x-8),(x+5)(x-8),(x+5)(x+8),(x-8)(x-5),2
