section,route,authority_type,authority_id,exact_text,notes
2.1,Intro,I-can,2.1-I1,"I can construct rate-of-change statements from tables, graphs, and situations.",Students will interpret slope as a measure of constant rate of change.
2.1,Intro,I-can,2.1-I2,I can apply slope calculations to interpret constant change between quantities.,Students will interpret slope as a measure of constant rate of change.
2.1,Intro,I-can,2.1-I3,I can determine whether a slope value is reasonable for a given context.,Students will interpret slope as a measure of constant rate of change.
2.1,Review,Prior I-can,Unit 1,I can apply an input-output rule to generate missing values and ordered pairs.,Interpret functions as rules that connect inputs and outputs without relying on formal domain and range language.
2.1,Mastery,Mastery Goal,U2-MG03,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",Portfolio/mastery retrieval
2.2,Intro,I-can,2.2-I1,I can build graphs of linear functions using slope and intercept information.,Students will graph linear functions and interpret key features.
2.2,Intro,I-can,2.2-I2,I can use key features of a line to interpret a relationship.,Students will graph linear functions and interpret key features.
2.2,Intro,I-can,2.2-I3,I can extend a graph to predict outputs within a meaningful range.,Students will graph linear functions and interpret key features.
2.2,Review,Prior I-can,Unit 1,"I can construct a table, graph, equation, or context from another representation of the same relationship.","Connect tables, graphs, equations, and contexts that represent the same relationship."
2.2,Mastery,Mastery Goal,U2-MG01,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",Portfolio/mastery retrieval
2.3,Intro,I-can,2.3-I1,"I can formulate linear equations from graphs, tables, and situations.","Students will write linear equations from graphs, tables, and situations."
2.3,Intro,I-can,2.3-I2,I can apply slope-intercept structure to connect rate and starting value.,"Students will write linear equations from graphs, tables, and situations."
2.3,Intro,I-can,2.3-I3,I can design equivalent equations that represent the same linear relationship.,"Students will write linear equations from graphs, tables, and situations."
2.3,Review,Prior I-can,Unit 1,"I can build equivalent expressions by using structure, grouping, and properties of operations.","Interpret and rewrite algebraic expressions by identifying structure, meaning, and equivalent forms."
2.3,Mastery,Mastery Goal,U2-MG03,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",Portfolio/mastery retrieval
2.4,Intro,I-can,2.4-I1,I can construct comparison models for linear relationships shown in different forms.,Students will analyze and compare linear relationships using multiple representations.
2.4,Intro,I-can,2.4-I2,I can use slope and intercept information to interpret similarities and differences.,Students will analyze and compare linear relationships using multiple representations.
2.4,Intro,I-can,2.4-I3,I can critique conclusions about linear relationships using evidence from representations.,Students will analyze and compare linear relationships using multiple representations.
2.4,Review,Prior I-can,Unit 1,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.","Recognize common function families from graphs, tables, equations, and contexts."
2.4,Mastery,Mastery Goal,U2-MG04,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",Portfolio/mastery retrieval
2.5,Intro,I-can,2.5-I1,I can design linear models that represent patterns in real-world data.,Students will use linear models to represent and interpret real-world data.
2.5,Intro,I-can,2.5-I2,I can predict values using a linear model and interpret the result.,Students will use linear models to represent and interpret real-world data.
2.5,Intro,I-can,2.5-I3,I can assess whether a linear model fits a data situation well enough for the question being asked.,Students will use linear models to represent and interpret real-world data.
2.5,Review,Prior I-can,Unit 1,I can construct an equation that models a situation using meaningful quantities and operations.,"Write, solve, and interpret equations that model situations."
2.5,Mastery,Mastery Goal,U2-MG02,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",Portfolio/mastery retrieval
SUMMATIVE,Secure Summative,Mastery Goal,U2-MG01,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",Required secure evidence
SUMMATIVE,Secure Summative,Mastery Goal,U2-MG02,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",Required secure evidence
SUMMATIVE,Secure Summative,Mastery Goal,U2-MG03,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",Required secure evidence
SUMMATIVE,Secure Summative,Mastery Goal,U2-MG04,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",Required secure evidence
